site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,date_insitu,chl,sd,depth,layer,ph,tp,cond,turbidity
Newbury,2009-10-05T00:00:00Z,2009,10,40,5,278,0.481005074,0,0.481005074,-40.64492877,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-04-15T00:00:00Z,2010,4,15,15,105,0.042441624,0,0.042441624,-0.43856345,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-04-30T00:00:00Z,2010,4,17,30,120,0.007073604,0,0.007073604,-3.54E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-05-13T00:00:00Z,2010,5,19,13,133,0,0,0,-7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-05-25T00:00:00Z,2010,5,21,25,145,0.077809644,0,0.077809644,7.78E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-06-04T00:00:00Z,2010,6,22,4,155,0.03536802,0,0.03536802,-4.24E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-06-10T00:00:00Z,2010,6,23,10,161,0.007073604,0,0.007073604,-2.83E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-06-15T00:00:00Z,2010,6,24,15,166,0.084883248,4.24E-02,0.127324873,0.120251269,2010-06-15T00:00:00Z,1.8,6.7,6,I,6.77,0.007,92,1.06
Newbury,2010-06-24T00:00:00Z,2010,6,25,24,175,0.141472081,3.54E-02,0.176840101,4.95E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-07-01T00:00:00Z,2010,7,26,1,182,3.246784251,1.379352786,4.626137038,4.449296937,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-07-08T00:00:00Z,2010,7,27,8,189,0.261723349,0.190987309,0.452710658,-4.17342638,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-07-15T00:00:00Z,2010,7,28,15,196,0.940789336,0.657845175,1.598634512,1.145923853,2010-07-13T00:00:00Z,1.78,7.3,6,I,6.84,0.005,93.6,1.06
Newbury,2010-07-22T00:00:00Z,2010,7,29,22,203,0.792243652,0.792243652,1.584487303,-1.41E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-07-29T00:00:00Z,2010,7,30,29,210,0.47393147,0.80639086,1.28032233,-0.304164973,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-08-05T00:00:00Z,2010,8,31,5,217,0.275870557,2.83E-02,0.304164973,-0.976157357,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-08-12T00:00:00Z,2010,8,32,12,224,1.301543142,0.827611672,2.129154814,1.824989841,2010-08-10T00:00:00Z,1.41,7.3,6,I,6.8,0.02,93.1,1.04
Newbury,2010-08-19T00:00:00Z,2010,8,33,19,231,2.857736029,1.506677659,4.364413688,2.235258874,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-08-26T00:00:00Z,2010,8,34,26,238,3.211416231,5.66E-02,3.268005063,-1.096408625,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-09-02T00:00:00Z,2010,9,35,2,245,24.46759635,7.07E-03,24.47466995,21.20666489,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-09-09T00:00:00Z,2010,9,36,9,252,0.077809644,0,0.077809644,-24.39686031,2010-09-07T00:00:00Z,1.25,7,6,I,6.88,0.018,96.3,4.79
Newbury,2010-09-16T00:00:00Z,2010,9,37,16,259,0.134398477,0,0.134398477,5.66E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-09-22T00:00:00Z,2010,9,38,22,265,0.049515228,0,0.049515228,-8.49E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-09-30T00:00:00Z,2010,9,39,30,273,0,0,0,-4.95E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2010-10-07T00:00:00Z,2010,10,40,7,280,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-04-28T00:00:00Z,2011,4,17,28,118,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-05-05T00:00:00Z,2011,5,18,5,125,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-05-12T00:00:00Z,2011,5,19,12,132,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-05-19T00:00:00Z,2011,5,20,19,139,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-05-26T00:00:00Z,2011,5,21,26,146,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-06-02T00:00:00Z,2011,6,22,2,153,0.007073604,0,0.007073604,7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-06-10T00:00:00Z,2011,6,23,10,161,0.021220812,7.07E-03,0.028294416,2.12E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-06-16T00:00:00Z,2011,6,24,16,167,0,0,0,-2.83E-02,2011-06-14T00:00:00Z,1.8,6.25,6,I,6.86,0.012,82.7,2.09
Newbury,2011-06-23T00:00:00Z,2011,6,25,23,174,0.007073604,0,0.007073604,7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-06-30T00:00:00Z,2011,6,26,30,181,0,0,0,-7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-07-07T00:00:00Z,2011,7,27,7,188,0.120251269,1.41E-02,0.134398477,0.134398477,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-07-14T00:00:00Z,2011,7,28,14,195,0.325385786,0,0.325385786,0.190987309,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-07-21T00:00:00Z,2011,7,29,21,202,0.240502537,1.41E-02,0.254649745,-7.07E-02,2011-07-19T00:00:00Z,1.63,6.5,6,I,6.82,0.014,88.5,2.48
Newbury,2011-07-28T00:00:00Z,2011,7,30,28,209,0.905421316,0.169766497,1.075187813,0.820538068,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-08-04T00:00:00Z,2011,8,31,4,216,1.810842633,0.657845175,2.468687808,1.393499994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-08-11T00:00:00Z,2011,8,32,11,223,0.707360403,0.254649745,0.962010149,-1.506677659,NA,NA,NA,NA,NA,NA,NA,NA,NA
