site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,week
Coffin,2010-10-07T00:00:00Z,2010,10,7,280,0.007073604,0,0.007073604,7.0736039999999998E-3,40
Coffin,2011-04-28T00:00:00Z,2011,4,28,118,0,0,0,-7.0736039999999998E-3,17
Coffin,2011-05-05T00:00:00Z,2011,5,5,125,0,0,0,0,18
Coffin,2011-05-12T00:00:00Z,2011,5,12,132,0,0,0,0,19
Coffin,2011-05-19T00:00:00Z,2011,5,19,139,0,0,0,0,20
Coffin,2011-05-26T00:00:00Z,2011,5,26,146,0,0,0,0,21
Coffin,2011-06-02T00:00:00Z,2011,6,2,153,0,0,0,0,22
Coffin,2011-06-10T00:00:00Z,2011,6,10,161,0,0,0,0,23
Coffin,2011-06-16T00:00:00Z,2011,6,16,167,0,0,0,0,24
Coffin,2011-06-23T00:00:00Z,2011,6,23,174,0.0141472081,0,0.0141472081,1.4147208099999999E-2,25
Coffin,2011-06-30T00:00:00Z,2011,6,30,181,0,0,0,-1.4147208099999999E-2,26
Coffin,2011-07-07T00:00:00Z,2011,7,7,188,0,0,0,0,27
Coffin,2011-07-14T00:00:00Z,2011,7,14,195,0.0282944161,0,0.0282944161,2.8294416100000001E-2,28
Coffin,2011-07-21T00:00:00Z,2011,7,21,202,0.0707360403,7.0736039999999998E-3,0.0778096444,4.9515228300000005E-2,29
Coffin,2011-07-28T00:00:00Z,2011,7,28,209,0.5517411146,0.1697664968,0.7215076114,0.64369796699999993,30
Coffin,2011-08-04T00:00:00Z,2011,8,4,216,0.7073604033,7.0736040299999997E-2,0.7780964436,5.6588832199999994E-2,31
Coffin,2011-08-11T00:00:00Z,2011,8,11,223,1.7825482163,0.89127410819999997,2.6738223245,1.8957258809000002,32
Coffin,2011-08-18T00:00:00Z,2011,8,18,230,0.5234466984,7.7809644400000003E-2,0.6012563428,-2.0725659817000004,33
Coffin,2011-08-25T00:00:00Z,2011,8,25,237,0.9903045646,0.1131776645,1.1034822292,0.50222588639999999,34
Coffin,2011-09-01T00:00:00Z,2011,9,1,244,2.2140380624,0,2.2140380624,1.1105558331999998,35
Coffin,2011-09-08T00:00:00Z,2011,9,8,251,1.5632664913,0,1.5632664913,-0.65077157109999972,36
Coffin,2011-09-15T00:00:00Z,2011,9,15,258,0.0282944161,0,0.0282944161,-1.5349720752,37
Coffin,2011-09-22T00:00:00Z,2011,9,22,265,0.0141472081,0,0.0141472081,-1.4147208000000001E-2,38
Coffin,2011-09-29T00:00:00Z,2011,9,29,272,0.0424416242,0,0.0424416242,2.8294416100000001E-2,39
Coffin,2011-10-06T00:00:00Z,2011,10,6,279,0,0,0,-4.24416242E-2,40
Coffin,2012-03-29T00:00:00Z,2012,3,29,89,0,0,0,0,13
Coffin,2012-04-13T00:00:00Z,2012,4,13,104,0,0,0,0,15
Coffin,2012-04-19T00:00:00Z,2012,4,19,110,0,0,0,0,16
Coffin,2012-05-03T00:00:00Z,2012,5,3,124,0,0,0,0,18
Coffin,2012-05-10T00:00:00Z,2012,5,10,131,0,0,0,0,19
Coffin,2012-05-17T00:00:00Z,2012,5,17,138,0,0,0,0,20
Coffin,2012-05-24T00:00:00Z,2012,5,24,145,0,0,0,0,21
Coffin,2012-05-31T00:00:00Z,2012,5,31,152,0,0,0,0,22
Coffin,2012-06-07T00:00:00Z,2012,6,7,159,0,0,0,0,23
Coffin,2012-06-14T00:00:00Z,2012,6,14,166,0.007073604,0,0.007073604,7.0736039999999998E-3,24
Coffin,2012-06-21T00:00:00Z,2012,6,21,173,0.0141472081,0,0.0141472081,7.0736040999999994E-3,25
Coffin,2012-06-28T00:00:00Z,2012,6,28,180,0,0,0,-1.4147208099999999E-2,26
Coffin,2012-07-05T00:00:00Z,2012,7,5,187,0.0141472081,0,0.0141472081,1.4147208099999999E-2,27
Coffin,2012-07-12T00:00:00Z,2012,7,12,194,0.0424416242,0,0.0424416242,2.8294416100000001E-2,28
Coffin,2012-07-19T00:00:00Z,2012,7,19,201,0.1768401008,9.9030456500000003E-2,0.2758705573,0.23342893309999999,29
Coffin,2012-07-26T00:00:00Z,2012,7,26,208,0.1414720807,7.0736039999999998E-3,0.1485456847,-0.12732487259999997,30
Coffin,2012-08-02T00:00:00Z,2012,8,2,215,0.1343984766,2.12208121E-2,0.1556192887,7.0736039999999833E-3,31
Coffin,2012-08-09T00:00:00Z,2012,8,9,222,0.0778096444,0,0.0778096444,-7.7809644299999994E-2,32
Coffin,2012-08-16T00:00:00Z,2012,8,16,229,0.0565888323,7.0736039999999998E-3,0.0636624363,-1.4147208100000003E-2,33
Coffin,2012-08-23T00:00:00Z,2012,8,23,236,0.0424416242,7.0736039999999998E-3,0.0495152282,-1.4147208100000003E-2,34
Coffin,2012-08-30T00:00:00Z,2012,8,30,243,0.0353680202,0,0.0353680202,-1.4147207999999994E-2,35
Coffin,2012-09-06T00:00:00Z,2012,9,6,250,0.0848832484,0,0.0848832484,4.9515228199999997E-2,36
Coffin,2012-09-13T00:00:00Z,2012,9,13,257,0.0282944161,0,0.0282944161,-5.6588832300000003E-2,37
Coffin,2012-09-20T00:00:00Z,2012,9,20,264,0.0353680202,0,0.0353680202,7.073604100000002E-3,38
Coffin,2012-09-27T00:00:00Z,2012,9,27,271,0,0,0,-3.5368020200000003E-2,39
Coffin,2012-10-05T00:00:00Z,2012,10,5,279,0.0141472081,0,0.0141472081,1.4147208099999999E-2,40
Coffin,2013-04-24T00:00:00Z,2013,4,24,114,0,0,0,-1.4147208099999999E-2,16
Coffin,2013-05-02T00:00:00Z,2013,5,2,122,0,0,0,0,17
Coffin,2013-05-14T00:00:00Z,2013,5,14,134,0,0,0,0,19
Coffin,2013-05-23T00:00:00Z,2013,5,23,143,0,0,0,0,20
Coffin,2013-05-30T00:00:00Z,2013,5,30,150,0,7.0736039999999998E-3,0.007073604,7.0736039999999998E-3,21
Coffin,2013-06-06T00:00:00Z,2013,6,6,157,0,0,0,-7.0736039999999998E-3,22
Coffin,2013-06-13T00:00:00Z,2013,6,13,164,0,0,0,0,23
Coffin,2013-06-20T00:00:00Z,2013,6,20,171,0,0,0,0,24
Coffin,2013-06-27T00:00:00Z,2013,6,27,178,0,0,0,0,25
Coffin,2013-07-03T00:00:00Z,2013,7,3,184,0.007073604,0,0.007073604,7.0736039999999998E-3,26
Coffin,2013-07-11T00:00:00Z,2013,7,11,192,0,0,0,-7.0736039999999998E-3,27
Coffin,2013-07-18T00:00:00Z,2013,7,18,199,0.007073604,0,0.007073604,7.0736039999999998E-3,28
Coffin,2013-07-25T00:00:00Z,2013,7,25,206,0.2263553291,4.24416242E-2,0.2687969533,0.26172334929999996,29
Coffin,2013-08-01T00:00:00Z,2013,8,1,213,0.0778096444,0,0.0778096444,-0.19098730889999999,30
Coffin,2013-08-08T00:00:00Z,2013,8,8,220,0.0353680202,0,0.0353680202,-4.24416242E-2,31
