Date,daily_mean_PAR_umolm2s,sampling_time_temp,sampling_time
2011-09-06,182.1106597,56,NA
2011-09-07,68.63496528,56,NA
2011-09-08,208.43975,56,56
2011-09-09,288.5505903,57,NA
2011-09-10,298.8516389,57,NA
2011-09-11,228.4179306,57,NA
2011-09-12,366.4303194,57,NA
2011-09-13,362.0658889,57,NA
2011-09-14,241.5416667,57,NA
2011-09-15,79.44759028,57,57
2011-09-16,311.8520347,58,NA
2011-09-17,267.6920069,58,NA
2011-09-18,206.9565556,58,NA
2011-09-19,334.6226181,58,NA
2011-09-20,105.5626597,58,NA
2011-09-21,272.0588056,58,NA
2011-09-22,118.4624931,58,58
2011-09-23,139.1736944,59,NA
2011-09-24,151.5898542,59,NA
2011-09-25,223.1903333,59,NA
2011-09-26,281.5259444,59,NA
2011-09-27,295.7622708,59,NA
2011-09-28,276.9250903,59,NA
2011-09-29,52.40693056,59,59
2011-09-30,205.0689306,60,NA
2011-10-01,30.70925694,60,NA
2011-10-02,58.64957639,60,NA
2011-10-03,140.1549861,60,NA
2011-10-04,37.93103472,60,NA
2011-10-05,167.7725694,60,NA
2011-10-06,231.2780347,60,60
2012-05-18,480.2742448,61,NA
2012-05-19,471.6763819,61,NA
2012-05-20,477.8410417,61,NA
2012-05-21,431.3867203,61,NA
2012-05-22,205.3394583,61,NA
2012-05-23,315.7147847,61,NA
2012-05-24,184.2415903,61,61
2012-05-25,144.9235417,62,NA
2012-05-26,421.6037153,62,NA
2012-05-27,465.8502778,62,NA
2012-05-28,428.0952727,62,NA
2012-05-29,116.8441667,62,NA
2012-05-30,268.4594444,62,NA
2012-05-31,470.8092014,62,62
2012-06-01,404.4666736,63,NA
2012-06-02,82.0600625,63,NA
2012-06-03,310.0961181,63,NA
2012-06-04,173.4822028,63,NA
2012-06-05,160.0214444,63,NA
2012-06-06,342.0672708,63,NA
2012-06-07,395.7196806,63,63
2012-06-08,335.3359097,64,NA
2012-06-09,465.5303333,64,NA
2012-06-10,462.2246458,64,NA
2012-06-11,379.0582083,64,NA
2012-06-12,244.4700625,64,NA
2012-06-13,250.0718819,64,NA
2012-06-14,457.3490486,64,64
2012-06-15,525.1861319,65,NA
2012-06-16,461.5378819,65,NA
2012-06-17,496.3746111,65,NA
2012-06-18,352.6868462,65,NA
2012-06-19,379.3309375,65,NA
2012-06-20,438.8079653,65,NA
2012-06-21,428.8874722,65,65
2012-06-22,430.080625,66,NA
2012-06-23,347.9881111,66,NA
2012-06-24,456.5837361,66,NA
2012-06-25,135.3496434,66,NA
2012-06-26,173.8650486,66,NA
2012-06-27,151.0174167,66,NA
2012-06-28,333.6050139,66,66
2012-06-29,419.3014444,67,NA
2012-06-30,432.8242847,67,NA
2012-07-01,395.0303681,67,NA
2012-07-02,423.0887133,67,NA
2012-07-03,455.1204653,67,NA
2012-07-04,342.6558958,67,NA
2012-07-05,290.2135625,67,67
2012-07-06,422.8351667,68,NA
2012-07-07,188.78925,68,NA
2012-07-08,476.2343194,68,NA
2012-07-09,477.6792448,68,NA
2012-07-10,415.9757639,68,NA
2012-07-11,484.9263194,68,NA
2012-07-12,413.0232153,68,68
2012-07-13,418.0632361,69,NA
2012-07-14,315.2934375,69,NA
2012-07-15,297.0307708,69,NA
2012-07-16,331.5193287,69,NA
2012-07-17,315.9971042,69,NA
2012-07-18,291.3891875,69,NA
2012-07-19,433.3606319,69,69
2012-07-20,391.5108472,70,NA
2012-07-21,386.2486181,70,NA
2012-07-22,365.3022847,70,NA
2012-07-23,295.1655385,70,NA
2012-07-24,286.5131389,70,NA
2012-07-25,391.7486389,70,NA
2012-07-26,98.02570833,70,70
2012-07-27,155.5180764,71,NA
2012-07-28,198.129875,71,NA
2012-07-29,186.3218819,71,NA
2012-07-30,387.1742308,71,NA
2012-07-31,412.5169097,71,NA
2012-08-01,270.9787431,71,NA
2012-08-02,401.7758889,71,71
2012-08-03,333.6414792,72,NA
2012-08-04,347.3170417,72,NA
2012-08-05,310.9424514,72,NA
2012-08-06,290.6613566,72,NA
2012-08-07,430.7513125,72,NA
2012-08-08,420.9505625,72,NA
2012-08-09,272.8513333,72,72
2012-08-10,115.8128611,73,NA
2012-08-11,237.7615486,73,NA
2012-08-12,271.6559653,73,NA
2012-08-13,302.8196643,73,NA
2012-08-14,296.5520764,73,NA
2012-08-15,295.7775556,73,NA
2012-08-16,320.2474236,73,73
2012-08-17,281.2371736,74,NA
2012-08-18,350.2988958,74,NA
2012-08-19,365.9937639,74,NA
2012-08-20,392.8643916,74,NA
2012-08-21,316.6432292,74,NA
2012-08-22,373.3442153,74,NA
2012-08-23,364.3333333,74,74
2012-08-24,365.5024375,75,NA
2012-08-25,220.5075278,75,NA
2012-08-26,330.2110486,75,NA
2012-08-27,282.4819301,75,NA
2012-08-28,262.1423264,75,NA
2012-08-29,364.4861111,75,NA
2012-08-30,329.4746111,75,75
2012-08-31,227.5160903,76,NA
2012-09-01,340.8288958,76,NA
2012-09-02,205.5087639,76,NA
2012-09-03,339.6181958,76,NA
2012-09-04,54.47331944,76,NA
2012-09-05,137.2844931,76,NA
2012-09-06,229.7187361,76,76
2012-09-07,260.300875,77,NA
2012-09-08,198.2558056,77,NA
2012-09-09,266.6889306,77,NA
2012-09-10,176.6615764,77,NA
2012-09-11,309.3603681,77,NA
2012-09-12,315.2821667,77,NA
2012-09-13,330.0888056,77,77
2012-09-14,305.8860139,78,NA
2012-09-15,231.7330556,78,NA
2012-09-16,319.9610486,78,NA
2012-09-17,308.0831818,78,NA
2012-09-18,39.15075694,78,NA
2012-09-19,231.7693056,78,NA
2012-09-20,321.1567153,78,78
2012-09-21,301.23825,79,NA
2012-09-22,269.1935278,79,NA
2012-09-23,243.8346042,79,NA
2012-09-24,270.086014,79,NA
2012-09-25,298.0222083,79,NA
2012-09-26,117.8271667,79,NA
2012-09-27,227.5842778,79,79
2012-09-29,91.23597222,80,NA
2012-09-30,63.0134375,80,NA
2012-10-01,61.82921678,80,NA
2012-10-02,126.2173264,80,NA
2012-10-03,45.6515,80,NA
2012-10-04,37.501375,80,NA
2012-10-05,231.0715069,80,80
2013-05-17,338.0748194,81,NA
2013-05-18,382.7406853,81,NA
2013-05-19,222.2412937,81,NA
2013-05-20,341.5713542,81,NA
2013-05-21,346.7481111,81,NA
2013-05-22,207.5380278,81,NA
2013-05-23,251.2848542,81,81
2013-05-24,123.4956597,82,NA
