"date","schmidt","season_week","year"
2012-08-16,517.78939923476,13,2012
2012-08-23,457.235425897309,14,2012
2012-08-30,397.966084068899,15,2012
2012-09-06,336.795247571858,16,2012
2012-09-13,184.538175886523,17,2012
2012-09-20,0,18,2012
2012-09-27,0,19,2012
2012-10-05,0,20,2012
2013-05-23,92.5314577902862,1,2013
2013-05-30,57.9712302068218,2,2013
2013-06-06,192.823733538566,3,2013
2013-06-13,131.170518052192,4,2013
2013-06-20,189.971515199761,5,2013
2013-06-27,361.984714891029,6,2013
2013-07-03,401.844470360899,7,2013
2013-07-11,521.120809163053,8,2013
2013-07-18,575.856655330345,9,2013
2013-07-25,456.283217822142,10,2013
2013-08-01,485.291833807648,11,2013
2013-08-08,390.575003138375,12,2013
2013-08-15,317.109050792947,13,2013
2013-08-22,NA,14,2013
2013-08-29,NA,15,2013
2013-09-05,NA,16,2013
2013-09-11,235.318078462674,17,2013
2013-09-18,74.8315332633964,18,2013
2013-09-25,0,19,2013
2013-10-02,16.0567849430524,20,2013
2014-05-29,NA,1,2014
2014-06-05,NA,2,2014
2014-06-12,299.497128370922,3,2014
2014-06-19,302.451903611777,4,2014
2014-06-26,337.931076940052,5,2014
2014-07-02,NA,6,2014
2014-07-09,NA,7,2014
2014-07-17,NA,8,2014
2014-07-23,NA,9,2014
2014-07-30,378.741521181645,10,2014
2014-08-06,410.091996027997,11,2014
2014-08-12,360.14592039675,12,2014
2014-08-20,202.811913826265,13,2014
2014-08-27,96.4521287286718,14,2014
2014-09-04,198.727949236506,15,2014
2014-09-10,147.915449236814,16,2014
2014-09-17,7.67398325337555,17,2014
2014-09-25,12.4440087783361,18,2014
2014-10-03,12.464077252824,19,2014
2014-10-10,3.60107747003285,20,2014
2015-05-21,94.2575078979972,1,2015
2015-05-28,128.493124309945,2,2015
2015-06-05,161.170638896572,3,2015
2015-06-11,186.114531941199,4,2015
2015-06-19,247.374075216703,5,2015
2015-06-25,364.735074498007,6,2015
2015-07-02,368.309515612085,7,2015
2015-07-09,NA,8,2015
2015-07-16,NA,9,2015
2015-07-23,NA,10,2015
2015-07-30,NA,11,2015
2015-08-06,NA,12,2015
2015-08-13,320.429338364632,13,2015
2015-08-20,372.004288109137,14,2015
2015-08-25,379.207319576206,15,2015
2015-09-03,262.738153402895,16,2015
2015-09-10,232.269271424339,17,2015
2015-09-17,31.7974350291808,18,2015
2015-09-24,0.333274818458287,19,2015
2015-10-02,NA,20,2015
2016-05-26,103.382526175253,1,2016
2016-06-03,290.841531897381,2,2016
2016-06-09,194.659640913103,3,2016
2016-06-16,60.4152012720157,4,2016
2016-06-23,215.270714828111,5,2016
2016-06-30,341.730845015944,6,2016
2016-07-07,386.658427692087,7,2016
2016-07-14,332.178691462991,8,2016
2016-07-21,374.582794016502,9,2016
2016-07-27,415.616425146036,10,2016
2016-08-04,388.695289167358,11,2016
2016-08-11,401.273319467665,12,2016
2016-08-15,396.836332008331,13,2016
2016-08-22,200.716795748308,14,2016
2016-08-31,207.616214350712,15,2016
2016-09-07,83.8818876595598,16,2016
2016-09-14,0,17,2016
2016-09-21,8.91504486036187,18,2016
2016-09-28,0,19,2016
2016-10-05,0,20,2016
