date,ppt_mm,ma_3,ma_5,ma_7,ma_10,ma_14
2011-06-28,0,0.33,3.7879999999999994,7.285714285714286,5.205,4.58
2011-06-29,3.37,1.1233333333333333,2.7399999999999998,7.767142857142857,5.437,4.727857142857144
2011-06-30,0,1.1233333333333333,0.8719999999999999,3.187142857142857,5.437,4.059285714285715
2011-07-01,0,1.1233333333333333,0.6739999999999998,1.957142857142857,5.437,4.059285714285715
2011-07-02,0,-7.632783294297951e-17,0.6739999999999998,0.6228571428571427,5.437,3.958571428571429
2011-07-03,0,-7.632783294297951e-17,0.6739999999999998,0.48142857142857126,2.2310000000000008,3.883571428571429
2011-07-04,1.4,0.46666666666666656,0.2799999999999998,0.6814285714285713,1.5100000000000007,3.9835714285714294
2011-07-05,0,0.46666666666666656,0.2799999999999998,0.6814285714285713,0.5760000000000007,3.9835714285714294
2011-07-06,0,0.46666666666666656,0.2799999999999998,0.1999999999999998,0.47700000000000065,3.9835714285714294
2011-07-07,8.43,2.81,1.9659999999999997,1.4042857142857141,1.3200000000000007,2.2957142857142863
2011-07-08,0,2.81,1.9659999999999997,1.4042857142857141,1.3200000000000007,1.680714285714286
2011-07-09,4.9,4.443333333333333,2.6659999999999995,2.104285714285714,1.4730000000000005,1.363571428571429
2011-07-10,0,1.633333333333333,2.6659999999999995,2.104285714285714,1.4730000000000005,1.2928571428571431
2011-07-11,0,1.633333333333333,2.6659999999999995,1.9042857142857141,1.4730000000000005,1.2928571428571431
2011-07-12,0,-2.2435756955966707e-16,0.9799999999999999,1.9042857142857141,1.4730000000000005,1.2928571428571431
2011-07-13,1.04,0.34666666666666646,1.188,2.052857142857143,1.5770000000000006,1.1264285714285718
2011-07-14,12.47,4.503333333333333,2.702,2.63,2.6840000000000006,2.0171428571428573
2011-07-15,0,4.503333333333333,2.702,2.63,2.6840000000000006,2.0171428571428573
2011-07-16,0,4.156666666666667,2.702,1.93,2.6840000000000006,2.0171428571428573
2011-07-17,0,-2.2435756955966707e-16,2.702,1.93,1.8410000000000006,2.0171428571428573
2011-07-18,5,1.6666666666666663,3.4939999999999998,2.644285714285714,2.3410000000000006,2.274285714285715
2011-07-19,2.08,2.36,1.416,2.9414285714285713,2.0590000000000006,2.4228571428571435
2011-07-20,0,2.36,1.416,2.792857142857143,2.0590000000000006,2.4228571428571435
2011-07-21,0,0.693333333333333,1.416,1.0114285714285711,2.0590000000000006,1.8207142857142862
2011-07-22,0,-2.2435756955966707e-16,1.416,1.0114285714285711,2.0590000000000006,1.8207142857142862
2011-07-23,1.37,0.4566666666666665,0.6899999999999998,1.207142857142857,2.0920000000000005,1.568571428571429
2011-07-24,0,0.4566666666666665,0.27399999999999985,1.207142857142857,0.8450000000000006,1.568571428571429
2011-07-25,0,0.4566666666666665,0.27399999999999985,0.4928571428571427,0.8450000000000006,1.568571428571429
2011-07-26,6.74,2.2466666666666666,1.6219999999999999,1.1585714285714286,1.5190000000000006,2.0500000000000003
2011-07-27,9.86,5.533333333333332,3.594,2.567142857142857,2.5050000000000003,2.68
2011-07-28,0,5.533333333333332,3.3199999999999994,2.567142857142857,2.0050000000000003,1.7892857142857146
2011-07-29,0,3.2866666666666666,3.3199999999999994,2.567142857142857,1.7970000000000006,1.7892857142857146
2011-07-30,15.34,5.113333333333333,6.388,4.562857142857142,3.3310000000000004,2.8850000000000007
2011-07-31,0,5.113333333333333,5.04,4.562857142857142,3.3310000000000004,2.8850000000000007
2011-08-01,0.06,5.133333333333333,3.0799999999999996,4.571428571428571,3.3370000000000006,2.5321428571428575
2011-08-02,1.39,0.48333333333333334,3.3579999999999997,3.8071428571428565,3.339000000000001,2.482857142857143
2011-08-03,0.55,0.6666666666666666,3.468,2.4771428571428564,3.3940000000000006,2.5221428571428572
2011-08-04,0,0.6466666666666666,0.3999999999999999,2.4771428571428564,3.3940000000000006,2.5221428571428572
2011-08-05,0.88,0.4766666666666666,0.5759999999999998,2.6028571428571428,2.8080000000000007,2.5850000000000004
2011-08-06,0,0.29333333333333333,0.5639999999999998,0.41142857142857114,1.8220000000000005,2.4871428571428575
2011-08-07,12.17,4.3500000000000005,2.7199999999999998,2.1499999999999995,3.0390000000000006,3.3564285714285718
2011-08-08,4.19,5.453333333333333,3.4479999999999995,2.7399999999999998,3.4580000000000006,3.655714285714286
2011-08-09,2.98,6.446666666666666,4.044,2.967142857142857,2.2220000000000004,3.387142857142858
2011-08-10,12.46,6.543333333333334,6.36,4.668571428571428,3.468000000000001,3.5728571428571434
2011-08-11,1.05,5.496666666666667,6.57,4.8185714285714285,3.567000000000001,3.6478571428571436
2011-08-12,0,4.503333333333334,4.136,4.692857142857143,3.428000000000001,3.6478571428571436
2011-08-13,0,0.3499999999999999,3.2979999999999996,4.692857142857143,3.373000000000001,2.5521428571428575
2011-08-14,0.05,0.016666666666666642,2.7119999999999997,2.9614285714285713,3.378000000000001,2.5557142857142865
2011-08-15,8.15,2.733333333333334,1.8499999999999996,3.527142857142857,4.105000000000001,3.133571428571429
2011-08-16,55.56,21.253333333333334,12.752,11.03857142857143,9.661000000000001,7.002857142857144
2011-08-17,4.25,22.653333333333336,13.602,9.865714285714287,8.869000000000002,7.267142857142858
2011-08-18,0,19.936666666666667,13.602,9.715714285714286,8.450000000000001,7.267142857142858
2011-08-19,0,1.4166666666666667,13.592000000000002,9.715714285714286,8.152000000000001,7.2042857142857155
2011-08-20,0,3.469446951953614e-17,11.962,9.715714285714286,6.906000000000001,7.2042857142857155
2011-08-21,0,3.469446951953614e-17,0.8500000000000002,9.70857142857143,6.801,6.335000000000001
2011-08-22,16.45,5.483333333333333,3.29,10.894285714285715,8.446000000000002,7.210714285714286
2011-08-23,4.03,6.826666666666667,4.096,3.532857142857143,8.849,7.285714285714286
2011-08-24,0,6.826666666666667,4.096,2.9257142857142857,8.844000000000001,6.395714285714286
2011-08-25,0,1.3433333333333335,4.096,2.9257142857142857,8.029,6.320714285714287
2011-08-26,4.26,1.42,4.948,3.5342857142857147,2.8990000000000005,6.625
2011-08-27,0,1.42,1.6580000000000001,3.5342857142857147,2.4740000000000006,6.625
2011-08-28,31.83,12.03,7.217999999999999,8.081428571428571,5.657,8.895
2011-08-29,89.93,40.586666666666666,25.204,18.57857142857143,14.65,14.736428571428572
2011-08-30,0,40.586666666666666,25.204,18.002857142857145,14.65,10.767857142857142
2011-08-31,0,29.97666666666667,24.352,18.002857142857145,14.65,10.464285714285714
2011-09-01,0,-1.7416623698807143e-15,24.352,18.002857142857145,13.005,10.464285714285714
2011-09-02,0,-1.7416623698807143e-15,17.986,17.394285714285715,12.602,10.464285714285714
2011-09-03,0,-1.7416623698807143e-15,2.0816681711721685e-17,17.394285714285715,12.602,10.464285714285714
2011-09-04,0,-1.7416623698807143e-15,2.0816681711721685e-17,12.847142857142858,12.602,10.464285714285714
2011-09-05,15.75,5.249999999999998,3.15,2.2499999999999996,13.751000000000001,10.414285714285715
2011-09-06,39.64,18.46333333333333,11.078,7.912857142857143,17.715,12.957857142857142
2011-09-07,6.54,20.64333333333333,12.386,8.847142857142858,15.186000000000002,13.424999999999999
2011-09-08,22.23,22.80333333333333,16.832,12.022857142857143,8.416,15.012857142857143
2011-09-09,0.46,9.743333333333332,16.924,12.088571428571429,8.462,14.741428571428571
2011-09-10,0,7.563333333333333,13.774000000000001,12.088571428571429,8.462,14.741428571428571
2011-09-11,0,0.15333333333333188,5.846,12.088571428571429,8.462,12.467857142857143
2011-09-12,0,-1.4641066137244252e-15,4.538,9.838571428571429,8.462,6.0442857142857145
2011-09-13,0,-1.4641066137244252e-15,0.09200000000000003,4.175714285714286,8.462,6.0442857142857145
2011-09-14,0,-1.4641066137244252e-15,2.0816681711721685e-17,3.241428571428571,8.462,6.0442857142857145
