date,log_gloeo,schmidt.stability_mean_diff,schmidt.stability_max_diff,schmidt.stability_min_diff
2016-05-26,-0.988723737,114.0303311,154.0744125,70.43569497
2016-06-03,-1.172227408,162.4035383,147.1686954,187.4590057
2016-06-16,-0.959777296,-197.5095357,-176.9154351,-230.4263306
2016-06-23,0.206639202,133.2225547,109.5414486,154.8555135
2016-06-30,0.547313691,132.8919786,141.0618248,126.4601302
2016-07-07,-0.511780809,36.6820329,28.3728547,44.9275827
2016-07-14,0.947768179,-40.6677825,-20.7403957,-54.4797362
2016-07-21,0.561876942,19.2247719,-13.6314602,42.4041025
2016-07-27,0.868968494,46.0688341,56.2620443,41.0336311
2016-08-04,0.210440342,-25.6953957,-26.3169771,-26.9211359
2016-08-15,0.613823556,33.6246857,56.8595718,8.1410428
2016-08-22,-0.233858277,-142.1768721,-102.0818877,-196.1195363
2016-08-31,0.340313935,-56.9523266,-98.5034495,6.8994187
2016-09-07,-0.255440172,-115.6711594,-70.7347885,-123.7343267
2016-09-14,0.160353031,-76.25157999,-17.0615208,-89.3776297
2016-09-21,0.021393327,-16.47684997,-129.2096522,14.4107869
2016-09-28,-0.959777296,-57.94320156,-92.29573893,-21.11425271
2016-10-05,-0.860125707,6.903278302,17.69776273,1.10997577
