date,MaxWindDir_deg,MaxWindSp_ms
3/2/14,359.8,4.1
3/3/14,358,4.5
3/4/14,347.4,3.4
3/5/14,355.6,4
3/6/14,359,2.8
3/7/14,356.6,3
3/8/14,354.4,3.9
3/9/14,359.3,4.8
3/10/14,342.3,2.5
3/11/14,337.6,6.6
3/12/14,355.1,6.1
3/13/14,350,5.9
3/14/14,328.1,5.5
3/15/14,305,7.3
3/16/14,357.4,6.1
3/17/14,358.8,3.8
3/18/14,354.8,2.6
3/19/14,356.4,5
3/20/14,358.6,28.5
3/21/14,356,7
3/22/14,345.1,6.3
3/23/14,351.2,5.1
3/24/14,356.7,5.1
3/25/14,334.2,5.1
3/26/14,357.8,6.4
3/27/14,359.5,4.8
3/28/14,353.8,4.2
3/29/14,359.7,4
3/30/14,354,7.9
3/31/14,353.7,6.8
4/1/14,349.7,3
4/2/14,357,4.5
4/3/14,356.3,4.4
4/4/14,359.3,4.8
4/5/14,359.5,5.9
4/6/14,318.8,5.7
4/7/14,359.2,3.2
4/8/14,NA,NA
4/9/14,NA,NA
4/10/14,NA,NA
4/11/14,NA,NA
4/12/14,NA,NA
4/13/14,NA,NA
4/14/14,NA,NA
4/15/14,NA,NA
4/16/14,NA,NA
4/17/14,NA,NA
4/18/14,NA,NA
4/19/14,NA,NA
4/20/14,NA,NA
4/21/14,NA,NA
4/22/14,NA,NA
4/23/14,NA,NA
4/24/14,NA,NA
4/25/14,NA,NA
4/26/14,NA,NA
4/27/14,NA,NA
4/28/14,NA,NA
4/29/14,NA,NA
4/30/14,NA,NA
5/1/14,NA,NA
5/2/14,NA,NA
5/3/14,NA,NA
5/4/14,NA,NA
5/5/14,NA,NA
5/6/14,NA,NA
5/7/14,NA,NA
5/8/14,NA,NA
5/9/14,NA,NA
5/10/14,NA,NA
5/11/14,NA,NA
5/12/14,NA,NA
5/13/14,NA,NA
5/14/14,NA,NA
5/15/14,NA,NA
5/16/14,NA,NA
5/17/14,NA,NA
5/18/14,NA,NA
5/19/14,NA,NA
5/20/14,NA,NA
5/21/14,NA,NA
5/22/14,NA,NA
5/23/14,NA,NA
5/24/14,NA,NA
5/25/14,NA,NA
5/26/14,NA,NA
5/27/14,NA,NA
5/28/14,NA,NA
5/29/14,NA,NA
5/30/14,NA,NA
5/31/14,NA,NA
6/1/14,NA,NA
6/2/14,NA,NA
6/3/14,NA,NA
6/4/14,NA,NA
6/5/14,NA,NA
6/6/14,NA,NA
6/7/14,NA,NA
6/8/14,NA,NA
6/9/14,283.3,7.3
6/10/14,359.3,9.8
6/11/14,297,3
6/12/14,291,5.1
6/13/14,296,10
6/14/14,346,7.7
6/15/14,354.8,11.2
6/16/14,356.9,5.1
6/17/14,358.2,8.8
6/18/14,347.6,16.3
6/19/14,359.5,10.4
6/20/14,358.7,10.6
6/21/14,355.8,8.8
6/22/14,356.5,7.1
6/23/14,359.7,6.3
6/24/14,356,11.3
6/25/14,328.3,8.4
6/26/14,359.7,8.5
6/27/14,358.5,4.1
6/28/14,327.6,4
6/29/14,333.1,6.8
6/30/14,310.8,7.8
7/1/14,323.6,8.7
7/2/14,356.5,13.3
7/3/14,353.6,13.1
7/4/14,358.2,10.2
7/5/14,350.4,13.4
7/6/14,338.7,10.2
7/7/14,355.5,9
7/8/14,309,11.3
7/9/14,342.5,12.1
7/10/14,349.7,7.9
7/11/14,328.4,3.8
7/12/14,356.6,5.6
7/13/14,323.7,11.1
7/14/14,326.9,9.2
7/15/14,356.3,9.5
7/16/14,349.5,16.7
7/17/14,332.5,8.1
7/18/14,358.2,6.3
7/19/14,351.1,3.4
7/20/14,301,4.4
7/21/14,348.3,5.2
7/22/14,348,6.9
7/23/14,344.7,12
7/24/14,359.7,8.8
7/25/14,333.6,6.9
7/26/14,320.9,9.6
7/27/14,359.9,8.8
7/28/14,355.3,7.7
7/29/14,358.2,9.7
7/30/14,357.6,4.5
7/31/14,355.9,9.8
8/1/14,340.6,5
8/2/14,334.4,5.7
8/3/14,349.5,4.4
8/4/14,347.9,6.4
8/5/14,358.8,7.7
8/6/14,356.2,8.8
8/7/14,353.1,9.9
8/8/14,355.1,8.1
8/9/14,358.6,7.9
8/10/14,354.7,4.4
8/11/14,358.4,4.1
8/12/14,345,7.6
8/13/14,307.8,12.5
8/14/14,354.6,10.5
8/15/14,326.1,8
8/16/14,303.1,7.8
8/17/14,346.7,10.1
8/18/14,356.1,11.2
8/19/14,358.8,5.5
8/20/14,359.7,4.7
8/21/14,280,4.6
8/22/14,290,5.3
8/23/14,354.7,2.7
8/24/14,353.1,4.7
8/25/14,358.1,4.8
8/26/14,331.5,6.2
8/27/14,349,7.3
8/28/14,358.5,10.2
8/29/14,357.8,6.1
8/30/14,359.4,10
8/31/14,344.4,6.5
9/1/14,358.6,5.1
9/2/14,357.7,9.7
9/3/14,341.9,11.4
9/4/14,319.3,6.3
9/5/14,318,8.9
9/6/14,357.6,11.7
9/7/14,352.3,9
9/8/14,354.4,6.6
9/9/14,356.7,6
9/10/14,337.8,4
9/11/14,317.6,10.9
9/12/14,359.7,10.5
9/13/14,354.5,21.5
9/14/14,356.2,20.8
9/15/14,347.8,4.8
9/16/14,347.9,13
9/17/14,342.5,5.3
9/18/14,357.9,8
9/19/14,356,6.9
9/20/14,355.2,11.2
9/21/14,359,9
9/22/14,346,12.7
9/23/14,357,8.6
9/24/14,344.5,3.8
9/25/14,355.5,3.4
9/26/14,355.7,9.9
9/27/14,359.5,7
9/28/14,357.9,7.1
9/29/14,325.1,4.3
9/30/14,269,4.1
10/1/14,284,3.7
10/2/14,355.1,5
10/3/14,353,4.2
10/4/14,331,19.8
10/5/14,351,8.6
10/6/14,357.7,9.6
10/7/14,279,9.6
10/8/14,298,14.1
10/9/14,322.5,13.2
10/10/14,315.9,9.1
10/11/14,359.4,4.8
10/12/14,359.2,7.1
10/13/14,359.8,7.8
10/14/14,355,6.5
10/15/14,358.4,3.5
10/16/14,359.4,13.6
