date,schmidt_mean_diff,schmidt_median_diff,schmidt_max_diff,schmidt_min_diff,schmidt_sd_diff,schmidt_range_diff
2011-07-09,106.94195000000002,111.56537730000002,110.59007179999998,92.46313140000001,3.5521373899999986,18.12694042999999
2011-07-10,52.28204979999998,53.379060400000014,72.26248379999998,30.554941999999983,12.429001943000001,41.70754178000001
2011-07-11,56.83031539999996,65.46008410000002,51.608659399999965,55.33185659999998,-5.168489780000002,-3.7231972000000013
2011-07-12,77.23300119999999,70.63084690000005,82.72953790000003,68.82428349999998,4.7931798400000005,13.905254349999993
2011-07-13,57.41178579999996,58.283948599999974,34.42313839999997,79.88501889999998,-5.335744319999998,-45.461880429999994
2011-07-14,33.27972639999996,27.541476399999965,57.459647099999984,37.935935900000004,4.4102175899999985,19.523711200000008
2011-07-15,19.7840372,17.896193299999993,28.765295399999957,8.281802699999957,5.423674736000001,20.483492780000006
2011-07-16,42.38718600000004,44.94050559999994,34.482814000000076,56.14016509999999,-8.030813689999999,-21.657351050000003
2011-07-17,72.13872370000001,73.32937639999994,65.39907730000004,83.63722990000002,-5.438242440000002,-18.238152680000006
2011-07-18,65.48913620000002,65.8979678,36.534192300000086,70.83291650000007,-10.385227109999999,-34.29872423999999
2011-07-19,31.318395399999986,34.737154199999964,19.29766380000001,33.58855970000002,-5.80368009,-14.290895890000002
2011-07-20,43.352979000000005,39.42382340000006,49.12122599999998,69.1952915,-1.31252033,-20.074065540000007
2011-07-21,67.20991470000001,61.87068020000004,66.6843143000001,99.87773579999998,-1.4824793000000014,-33.19342145
2011-07-22,124.17037889999995,131.3704748,140.62901280000005,103.92607779999997,7.97490065,36.70293494999999
2011-07-23,98.33412349999992,102.6845641000001,77.59932329999992,89.01339330000002,-5.07381376,-11.414070049999992
2011-07-24,98.98251359999995,96.52601400000003,90.05046269999991,103.63012089999995,-4.650366589999999,-13.579658159999994
2011-07-25,67.14469199999996,67.51735429999997,74.58474519999993,61.06675439999992,3.7384506500000008,13.5179908
2011-07-26,12.16810190000001,15.293647299999975,4.452178900000035,10.664947900000016,-2.02043561,-6.212768999999994
2011-07-27,-0.9330443000000059,1.0386250999999902,-6.489518800000042,-3.114924299999984,-0.7102136899999998,-3.3745945499999976
2011-07-28,-26.759542699999997,-19.33870239999999,-51.88789730000008,-15.67725340000004,-11.10567768,-36.21064401
2011-07-29,-68.41810559999999,-72.81968230000007,-93.5106522000001,-46.82088339999996,-9.27666469,-46.68976881
2011-07-30,-82.98366429999999,-76.9078015,-51.0521665,-92.59801580000004,10.025142599999999,41.54584937999999
2011-07-31,-84.42402819999995,-83.11973720000003,-71.9817139999999,-89.54917929999999,3.583938739999999,17.567465379999994
2011-08-01,-51.459011199999964,-51.50501869999994,-59.161761100000035,-43.87248469999997,-5.444721774000001,-15.289276450000003
2011-08-02,-15.96798919999992,-15.902594799999974,-3.352103800000009,-48.96809060000004,7.994128500000002,45.615986789999994
2011-08-03,-17.912982199999988,-17.675658999999996,-16.69846599999994,-40.96900590000001,4.417116,24.270539909999997
2011-08-04,-1.5185864999999694,-1.8531721000000516,1.168576499999972,-9.09653609999998,6.352518500000002,10.265112719999998
2011-08-05,8.149901099999965,6.288324299999999,16.049676500000032,13.440886800000044,-0.7911545700000016,2.6087897000000027
2011-08-06,23.35480110000003,14.245618499999978,7.572772200000031,48.591841800000054,-9.20036976,-41.019069679999994
2011-08-07,24.430387999999994,23.57878070000004,16.232556799999998,22.596872899999994,-0.5804642199999996,-6.364316160000001
2011-08-08,23.58456000000001,21.70046859999991,30.685587300000066,26.375222699999995,1.8066016040000008,4.310364739999997
2011-08-09,22.188281699999948,17.965799299999958,15.262640499999975,60.56591880000002,-7.499377860000001,-45.303278289999994
2011-08-10,14.156627100000037,16.05180639999992,7.028896400000008,33.58755179999997,-4.078085020000001,-26.558655399999992
2011-08-11,-12.501355699999976,-12.101323099999945,-19.47318079999991,-11.829213399999958,-8.546947900000001,-7.643967400000001
2011-08-12,-37.940647799999965,-35.327035799999976,-46.04814529999999,-43.88561560000005,-1.0682064099999984,-2.162529710000001
2011-08-13,-46.173569600000064,-42.87748310000006,-61.373770899999954,-46.28959310000005,-3.6464177299999996,-15.084177750000002
2011-08-14,-69.04282,-65.32282249999997,-72.68680530000006,-65.55712749999998,-1.1569762499999996,-7.129677819999998
2011-08-15,-110.17546229999999,-106.91702149999998,-107.85296900000003,-139.80939080000002,4.059383540000001,31.956421750000004
2011-08-16,-152.9393546,-147.75098609999992,-148.54379110000002,-155.3119001,-2.632366300000001,6.768109050000007
2011-08-17,-136.84425879999998,-139.50689529999994,-123.49653649999999,-127.86221989999996,-0.4870138399999995,4.365683419999996
2011-08-18,-104.48326880000002,-102.1652072,-103.74095930000004,-118.91575210000002,1.4265941299999998,15.174792740000008
2011-08-19,-78.12455469999998,-76.3190588,-63.66032569999999,-101.491622,10.283304029999998,37.83129634
2011-08-20,-54.70692559999998,-51.60545029999997,-45.29229920000006,-70.2292597,3.99610953,24.936960440000007
2011-08-21,-28.845634399999994,-32.15574320000002,-17.413853500000016,-56.712986299999955,5.074402090000001,39.299132799999995
2011-08-22,-11.973140999999998,-15.099108999999999,2.08598470000004,4.1774401000000125,5.166763959999999,-2.091455400000001
2011-08-23,3.3395168999999782,0.7695862999999576,-11.613451800000007,14.754566399999987,0.2583024800000011,-26.36801828000001
2011-08-24,-5.335267700000031,3.008739100000014,-1.255989999999997,-58.928674,15.975570760000002,57.67268389
2011-08-25,-32.868157,-35.60530620000003,-16.99586579999999,-28.561228400000005,5.321148179999998,11.565362589999992
2011-08-26,-28.010091700000032,-39.06126229999995,-15.262265300000024,-22.987219299999992,5.21729405,7.724954089999997
2011-08-27,-20.34107499999999,-25.865743699999996,-19.131097599999976,-18.181274599999995,0.13553223999999986,-0.9498229800000075
2011-08-28,-99.54509690000003,-81.35477329999998,-46.701392699999985,-249.9415212,39.27070832,203.24012851999998
2011-08-29,-158.14302280000004,-151.56960899999996,-152.72673980000002,-210.94657519999998,10.00757587,58.21983535999999
2011-08-30,-123.47448579999997,-118.11737260000001,-102.94576569999998,-153.1571542,11.090944219999999,50.21138852000001
2011-08-31,-112.08435069999996,-119.72935230000002,-109.2216808,-86.5776223,-4.728627590000002,-22.644058400000006
2011-09-01,-84.9839566,-80.36721449999999,-84.00697070000001,-115.6810537,5.838880450000001,31.674083109999998
2011-09-02,-111.85548819999997,-102.0008588,-94.76132249999995,-128.6361288,6.316006650000002,33.874806230000004
2011-09-03,-114.82750970000001,-114.06949629999997,-99.18666050000002,-131.0005162,8.1451918,31.813855740000008
2011-09-04,-18.388032599999974,-39.67843450000004,-38.200411599999995,112.68921589999997,-31.29465918,-150.8896275
2011-09-05,37.091649200000006,52.07619199999999,45.021417799999995,-40.613960400000025,17.502512120000002,85.63537820000002
2011-09-06,13.396245700000009,18.186084900000026,25.221885799999995,-28.711506799999995,11.615966320000002,53.933392600000005
2011-09-07,-46.23875290000004,-53.45198810000002,-5.166780700000004,-75.59760729999999,21.419302910000003,70.43082660000002
2011-09-08,-63.23515570000001,-69.17550730000002,-73.98949950000002,-29.186833899999982,-9.93598656,-44.80266566
2011-09-09,-89.2031806,-87.45811650000002,-102.21548470000005,-80.1246347,-8.161708270000002,-22.090850000000003
2011-09-10,-76.05030769999999,-71.47827630000003,-57.27793329999997,-96.98086359999999,12.726066620000001,39.702930280000004
2011-09-11,-105.50673219999999,-108.66906,-93.9144068,-72.12495139999999,-0.7691191599999989,-21.789455399999994
2011-09-12,-137.5739286,-158.3417812,-117.74605830000002,-29.941952799999996,-11.27927527,-87.80410550000002
2011-09-13,-74.1616635,-87.633995,-61.201347699999985,-33.275538600000004,-6.96285662,-27.92580910000001
2011-09-14,-19.635964099999995,-14.630989,-52.4795307,5.391629999999992,-19.166277450000003,-57.87116070000002
2011-09-15,-33.95933099999999,-29.67575929999998,-2.544909099999984,-91.83876110000001,16.38479121,89.29385196000001
2011-09-16,-40.9223901,-46.732289699999995,-23.132701999999995,-84.04984182999999,13.370276640000004,60.91713979999999
2011-09-17,-125.45921689999999,-126.45563669999999,-140.33646700000003,-114.50403525000002,-12.855663320000001,-25.83243180000001
2011-09-18,-148.1139459,-140.71262989999997,-202.325527,-146.22005465,-12.13532305,-56.105472389999996
2011-09-19,-126.69349555999999,-128.47414166,-162.0665823,-103.86211236,-22.227595730000004,-58.204469939999996
