site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,week,light_sum,watertemp_min,watertemp_mean,watertemp_median,watertemp_max
Coffin,2011-06-30,2011,6,30,181,0,0,0,-0.014147208,26,548262.1,18.38,18.99333333,19.03,19.51
Coffin,2011-07-07,2011,7,7,188,0,0,0,0,27,819923.2,21.47,21.89458333,21.8,22.31
Coffin,2011-07-14,2011,7,14,195,0.028294416,0,0.028294416,0.028294416,28,1257048.1,22.64,23.14291667,23.15,23.66
Coffin,2011-07-21,2011,7,21,202,0.07073604,0.007073604,0.077809644,0.049515228,29,792722.4,23.83,24.42958333,24.435,24.87
Coffin,2011-07-28,2011,7,28,209,0.551741115,0.169766497,0.721507611,0.643697967,30,947465.5,23.32,24.56083333,24.7,25.39
Coffin,2011-08-04,2011,8,4,216,0.707360403,0.07073604,0.778096444,0.056588832,31,452613.8,23.66,24.40875,24.61,25.04
Coffin,2011-08-11,2011,8,11,223,1.782548216,0.891274108,2.673822325,1.895725881,32,451763.6,22.98,23.79166667,23.745,24.87
Coffin,2011-08-18,2011,8,18,230,0.523446698,0.077809644,0.601256343,-2.072565982,33,507736.1,21.31,22.23833333,22.31,22.98
Coffin,2011-08-25,2011,8,25,237,0.990304565,0.113177665,1.103482229,0.502225886,34,335867.6,21.47,21.95708333,21.97,22.64
Coffin,2011-09-01,2011,9,1,244,2.214038062,0,2.214038062,1.110555833,35,593482.1,21.14,21.68125,21.64,22.31
Coffin,2011-09-08,2011,9,8,251,1.563266491,0,1.563266491,-0.650771571,36,385866.3,19.68,20.59666667,20.81,21.31
Coffin,2011-09-15,2011,9,15,258,0.028294416,0,0.028294416,-1.534972075,37,153321.5,19.19,20.1875,20.4,20.81
Coffin,2011-09-22,2011,9,22,265,0.014147208,0,0.014147208,-0.014147208,38,NA,NA,NA,NA,NA
Coffin,2011-09-29,2011,9,29,272,0.042441624,0,0.042441624,0.028294416,39,NA,NA,NA,NA,NA
Coffin,2011-10-06,2011,10,6,279,0,0,0,-0.042441624,40,NA,NA,NA,NA,NA
Coffin,2012-03-29,2012,3,29,89,0,0,0,0,13,NA,NA,NA,NA,NA
