"site","date","year","month","dayofmonth","dayofyr","coloniesperL","filbundperL","totalperL","totalperL_diff","week","light_sum","watertemp_min","watertemp_mean","watertemp_median","watertemp_max","season_week"
"Coffin",2012-09-06,2012,9,6,250,0.084883248,0,0.084883248,0.049515228,36,706740.2,21.63,22.13291667,22.215,22.63,15
"Coffin",2012-09-13,2012,9,13,257,0.028294416,0,0.028294416,-0.056588832,37,917164.3,20.16,20.75333333,20.81,21.47,16
"Coffin",2012-09-20,2012,9,20,264,0.03536802,0,0.03536802,0.007073604,38,NA,18.37,18.89666667,18.94,19.51,17
"Coffin",2012-09-27,2012,9,27,271,0,0,0,-0.03536802,39,NA,NA,NA,NA,NA,18
"Coffin",2012-10-05,2012,10,5,279,0.014147208,0,0.014147208,0.014147208,40,NA,NA,NA,NA,NA,19
"Coffin",2013-05-30,2013,5,30,150,0,0.007073604,0.007073604,0.007073604,21,NA,NA,NA,NA,NA,0
"Coffin",2013-06-06,2013,6,6,157,0,0,0,-0.007073604,22,94050,17.09,17.7325,17.74,18.38,1
"Coffin",2013-06-13,2013,6,13,164,0,0,0,0,23,NA,15.83,16.26375,16.225,16.62,2
"Coffin",2013-06-20,2013,6,20,171,0,0,0,0,24,1031994.1,16.78,17.43833333,17.5,18.06,3
"Coffin",2013-06-27,2013,6,27,178,0,0,0,0,25,746404.9,21.31,21.76833333,21.725,22.31,4
"Coffin",2013-07-03,2013,7,3,184,0.007073604,0,0.007073604,0.007073604,26,965419.6,21.98,22.36708333,22.31,22.98,5
"Coffin",2013-07-11,2013,7,11,192,0,0,0,-0.007073604,27,679560.8,24.18,24.47041667,24.52,24.69,6
"Coffin",2013-07-18,2013,7,18,199,0.007073604,0,0.007073604,0.007073604,28,1222236.7,25.22,25.73666667,25.92,25.92,7
"Coffin",2013-07-25,2013,7,25,206,0.226355329,0.042441624,0.268796953,0.261723349,29,800193.3,23.49,23.99,24,24.69,8
"Coffin",2013-08-01,2013,8,1,213,0.077809644,0,0.077809644,-0.190987309,30,431882.8,22.98,23.675,23.66,24.18,9
"Coffin",2013-08-08,2013,8,8,220,0.03536802,0,0.03536802,-0.042441624,31,432323.8,21.98,22.32375,22.31,22.81,10
"Coffin",2013-08-15,2013,8,15,227,0.042441624,0,0.042441624,0.007073604,32,947486.5,20.49,20.95333333,20.98,21.31,11
"Coffin",2013-08-22,2013,8,22,234,0.028294416,0,0.028294416,-0.014147208,33,896541.4,21.64,21.82375,21.81,22.14,12
"Coffin",2013-08-29,2013,8,29,241,1.294469538,0.056588832,1.35105837,1.322763954,34,375522.1,22.31,22.84541667,22.81,23.49,13
"Coffin",2013-09-05,2013,9,5,248,0.297091369,0.014147208,0.311238578,-1.039819793,35,1169321.7,21.64,22.02458333,22.06,22.31,14
"Coffin",2013-09-11,2013,9,11,254,0.014147208,0,0.014147208,-0.297091369,36,902687.2,19.68,19.91833333,19.925,20.17,15
"Coffin",2013-09-18,2013,9,18,261,0.077809644,0,0.077809644,0.063662436,37,NA,NA,NA,NA,NA,16
"Coffin",2013-09-25,2013,9,25,268,0.063662436,0,0.063662436,-0.014147208,38,NA,NA,NA,NA,NA,17
"Coffin",2013-10-02,2013,10,2,275,0.03536802,0.014147208,0.049515228,-0.014147208,39,NA,NA,NA,NA,NA,18
"Coffin",2013-10-09,2013,10,9,282,0.028294416,0,0.028294416,-0.021220812,40,NA,NA,NA,NA,NA,19
"Coffin",2014-05-29,2014,5,29,149,0,0,0,-0.028294416,21,NA,NA,NA,NA,NA,0
"Coffin",2014-06-05,2014,6,5,156,0,0.014147208,0.014147208,0.014147208,22,NA,NA,NA,NA,NA,1
"Coffin",2014-06-12,2014,6,12,163,0.014147208,0.007073604,0.021220812,0.007073604,23,135217,18.22,18.70583333,18.71,19.03,2
"Coffin",2014-06-19,2014,6,19,170,0,0,0,-0.021220812,24,1240115.5,17.9,18.40208333,18.38,19.03,3
"Coffin",2014-06-26,2014,6,26,177,0.120251269,0.091956852,0.212208121,0.212208121,25,617442.4,19.19,19.95125,19.925,20.33,4
"Coffin",2014-07-02,2014,7,2,183,0.049515228,0.014147208,0.063662436,-0.148545685,26,984719.3,22.14,22.69375,22.48,23.83,5
"Coffin",2014-07-09,2014,7,9,190,0.049515228,0.049515228,0.099030457,0.03536802,27,1028969.8,21.48,21.91458333,21.81,22.48,6
"Coffin",2014-07-17,2014,7,17,198,0.183913705,0.077809644,0.261723349,0.162692893,28,1231913.9,22.98,23.33916667,23.32,23.66,7
"Coffin",2014-07-23,2014,7,23,204,0.275870557,0.028294416,0.304164973,0.042441624,29,1106255,23.14,23.75291667,23.83,24.18,8
"Coffin",2014-07-30,2014,7,30,211,0.360753806,0.084883248,0.445637054,0.141472081,30,859469.6,22.31,22.89083333,22.895,23.66,9
"Coffin",2014-08-06,2014,8,6,218,0.162692893,0.028294416,0.190987309,-0.254649745,31,1269877.9,22.98,23.34458333,23.23,23.83,10
"Coffin",2014-08-12,2014,8,12,224,0.091956852,0.021220812,0.113177665,-0.077809644,32,999756.4,23.14,23.76083333,23.83,24.18,11
"Coffin",2014-08-20,2014,8,20,232,3.515581204,0.028294416,3.543875621,3.430697956,33,686912.9,20.82,21.92291667,21.81,23.14,12
"Coffin",2014-08-27,2014,8,27,239,0.905421316,0.134398477,1.039819793,-2.504055828,34,854884.6,20.98,21.30291667,21.31,21.81,13
"Coffin",2014-09-04,2014,9,4,247,0.749802028,0.021220812,0.77102284,-0.268796953,35,1041240.7,21.31,22.34791667,22.48,23.66,14
"Coffin",2014-09-10,2014,9,10,253,0.954936545,0.014147208,0.969083753,0.198060913,36,826424.5,21.14,21.67083333,21.48,22.48,15
"Coffin",2014-09-17,2014,9,17,260,0.021220812,0,0.021220812,-0.94786294,37,NA,NA,NA,NA,NA,16
"Coffin",2014-09-25,2014,9,25,268,0.014147208,0,0.014147208,-0.007073604,38,NA,NA,NA,NA,NA,17
"Coffin",2014-10-03,2014,10,3,276,0.049515228,0,0.049515228,0.03536802,39,NA,NA,NA,NA,NA,18
"Coffin",2014-10-10,2014,10,10,283,0.007073604,0,0.007073604,-0.042441624,40,NA,NA,NA,NA,NA,19
"Fichter",2009-05-29,2009,5,29,149,0.007073604,0,0.007073604,0.007073604,21,NA,13.01,13.30416667,13.32,13.62,0
"Fichter",2009-06-04,2009,6,4,155,0.021220812,0,0.021220812,0.014147208,22,NA,15.02,15.51791667,15.5,16.13,1
"Fichter",2009-06-17,2009,6,17,168,0.007073604,0,0.007073604,-0.014147208,24,NA,16.45,17.61083333,17.005,19.5,3
"Fichter",2009-06-25,2009,6,25,176,0.084883248,0,0.084883248,0.077809644,25,872580.2,18.53,19.11666667,18.775,20.63,4
"Fichter",2009-07-02,2009,7,2,183,0.063662436,0,0.063662436,-0.021220812,26,177680.3,18.21,18.57791667,18.53,18.86,5
"Fichter",2009-07-09,2009,7,9,190,0.106104061,0.042441624,0.148545685,0.084883248,27,711077.8,19.02,19.4675,19.18,20.47,6
"Fichter",2009-07-16,2009,7,16,197,0.042441624,0,0.042441624,-0.106104061,28,633803.3,19.98,20.36708333,20.39,21.13,7
"Fichter",2009-07-23,2009,7,23,204,0.007073604,0,0.007073604,-0.03536802,29,362971.4,20.79,20.91041667,20.79,21.13,8
"Fichter",2009-07-30,2009,7,30,211,0.233428933,0.007073604,0.240502537,0.233428933,30,630348.4,21.46,22.11875,22.21,22.63,9
"Fichter",2009-08-06,2009,8,6,218,0.212208121,0,0.212208121,-0.028294416,31,294846.2,22.29,22.76625,22.79,23.3,10
"Fichter",2009-08-13,2009,8,13,225,0.205134517,0,0.205134517,-0.007073604,32,262618.8,22.79,22.93166667,22.96,23.13,11
"Fichter",2009-08-20,2009,8,20,232,0.297091369,0,0.297091369,0.091956852,33,738418.3,24.51,24.96333333,25.03,25.37,12
"Fichter",2009-08-27,2009,8,27,239,0.488078678,0,0.488078678,0.190987309,34,617991.5,22.79,23.11583333,23.13,23.64,13
"Fichter",2009-09-01,2009,9,1,244,0.381974618,0,0.381974618,-0.106104061,35,591265.2,20.47,20.73458333,20.63,21.46,14
"Fichter",2009-09-08,2009,9,8,251,0.629550759,0,0.629550759,0.247576141,36,201684.3,20.31,20.61791667,20.63,20.96,15
"Fichter",2009-09-15,2009,9,15,258,0.940789336,0,0.940789336,0.311238578,37,160845.5,19.18,19.4,19.34,19.66,16
"Fichter",2009-09-21,2009,9,21,264,4.095616735,0,4.095616735,3.154827399,38,NA,NA,NA,NA,NA,17
