Date,daily_mean_wnd_ms,sampling_time_temp,sampling_time
2010-07-25,3.774305556,30,NA
2010-07-26,5.504861111,30,NA
2010-07-27,4.003472222,30,NA
2010-07-28,3.861111111,30,NA
2010-07-29,4.277777778,30,30
2010-07-30,3.349305556,31,NA
2010-07-31,2.096527778,31,NA
2010-08-01,2.33125,31,NA
2010-08-02,1.852083333,31,NA
2010-08-03,3.697222222,31,NA
2010-08-04,3.79375,31,NA
2010-08-05,2.741666667,31,31
2010-08-06,4.772916667,32,NA
2010-08-07,2.500694444,32,NA
2010-08-08,3.199305556,32,NA
2010-08-09,3.53125,32,NA
2010-08-10,1.825694444,32,NA
2010-08-11,2.321527778,32,NA
2010-08-12,3.304166667,32,32
2010-08-13,2.665972222,33,NA
2010-08-14,2.695138889,33,NA
2010-08-15,4.056944444,33,NA
2010-08-16,3.631944444,33,NA
2010-08-17,3.695138889,33,NA
2010-08-18,2.172916667,33,NA
2010-08-19,2.660416667,33,33
2010-08-20,4.034722222,34,NA
2010-08-21,2.197916667,34,NA
2010-08-22,4.329861111,34,NA
2010-08-23,5.559027778,34,NA
2010-08-24,4.984722222,34,NA
2010-08-25,4.034722222,34,NA
2010-08-26,3.860416667,34,34
2010-08-27,3.626388889,35,NA
2010-08-28,3.311805556,35,NA
2010-08-29,3.102083333,35,NA
2010-08-30,3.45,35,NA
2010-08-31,2.752777778,35,NA
2010-09-01,1.947222222,35,NA
2010-09-02,2.481944444,35,35
2010-09-03,2.328472222,36,NA
2010-09-04,5.614583333,36,NA
2010-09-05,5.250694444,36,NA
2010-09-06,3.294444444,36,NA
2010-09-07,3.046527778,36,NA
2010-09-08,4.625694444,36,NA
2010-09-09,3.754166667,36,36
2010-09-10,4.361805556,37,NA
2010-09-11,3.248611111,37,NA
2010-09-12,3.973611111,37,NA
2010-09-13,2.344444444,37,NA
2010-09-14,3.746527778,37,NA
2010-09-15,3.90625,37,NA
2010-09-16,3.041666667,37,37
2010-09-17,3.923611111,38,NA
2010-09-18,2.738194444,38,NA
2010-09-19,2.367361111,38,NA
2010-09-20,4.41875,38,NA
2010-09-21,3.285416667,38,NA
2010-09-22,4.039583333,38,NA
2010-09-23,2.391666667,38,38
2010-09-24,3.738194444,39,NA
2010-09-25,4.545138889,39,NA
2010-09-26,3.578472222,39,NA
2010-09-27,4.161805556,39,NA
2010-09-28,4.097222222,39,NA
2010-09-29,3.269444444,39,NA
2010-09-30,3.976388889,39,39
2010-10-01,5.024305556,40,NA
2010-10-02,4.776388889,40,NA
2010-10-03,2.450694444,40,NA
2010-10-04,4.878472222,40,NA
2010-10-05,4.296527778,40,NA
2010-10-06,5.346527778,40,NA
2010-10-07,5.495138889,40,40
2011-05-20,2.047222222,41,NA
2011-05-21,2.051388889,41,NA
2011-05-22,3.189583333,41,NA
2011-05-23,2.871527778,41,NA
2011-05-24,3.370833333,41,NA
2011-05-25,1.874305556,41,NA
2011-05-26,3.904861111,41,41
2011-05-27,2.638194444,42,NA
2011-05-28,3.405555556,42,NA
2011-05-29,3.860416667,42,NA
2011-05-30,3.175,42,NA
2011-05-31,1.352777778,42,NA
2011-06-01,4.59375,42,NA
2011-06-02,6.697222222,42,42
2011-06-04,3.185416667,43,NA
2011-06-05,1.707638889,43,NA
2011-06-06,2.563194444,43,NA
2011-06-07,1.781944444,43,NA
2011-06-08,2.516666667,43,NA
2011-06-09,3.544444444,43,NA
2011-06-10,3.106944444,43,43
2011-06-11,4.472222222,44,NA
2011-06-12,4.111805556,44,NA
2011-06-13,2.157638889,44,NA
2011-06-14,3.406944444,44,NA
2011-06-15,3.204861111,44,NA
2011-06-16,2.625,44,44
2011-06-17,2.654861111,45,NA
2011-06-18,2.832638889,45,NA
2011-06-19,3.781944444,45,NA
2011-06-20,3.060416667,45,NA
2011-06-21,1.758333333,45,NA
2011-06-22,2.853472222,45,NA
2011-06-23,4.620138889,45,45
2011-06-24,5.270138889,46,NA
2011-06-25,2.618055556,46,NA
2011-06-26,2.319444444,46,NA
2011-06-27,1.767361111,46,NA
2011-06-28,1.702083333,46,NA
2011-06-29,4.359027778,46,NA
2011-06-30,3.755555556,46,46
2011-07-01,3.049305556,47,NA
2011-07-02,1.855555556,47,NA
2011-07-03,1.809027778,47,NA
2011-07-04,2.2,47,NA
2011-07-05,1.954861111,47,NA
2011-07-06,3.36875,47,NA
2011-07-07,3.040277778,47,47
2011-07-08,2.7875,48,NA
2011-07-09,4.425694444,48,NA
2011-07-10,2.419444444,48,NA
2011-07-11,3.459027778,48,NA
2011-07-12,3.841666667,48,NA
2011-07-13,3.753472222,48,NA
2011-07-14,3.846527778,48,48
2011-07-15,3.045138889,49,NA
2011-07-16,1.609027778,49,NA
2011-07-17,3.876388889,49,NA
2011-07-18,3.553472222,49,NA
2011-07-19,2.964583333,49,NA
2011-07-20,3.267361111,49,NA
2011-07-21,4.444444444,49,49
2011-07-22,3.830555556,50,NA
2011-07-23,2.713888889,50,NA
2011-07-24,3.282638889,50,NA
2011-07-25,3.536805556,50,NA
2011-07-26,3.408333333,50,NA
2011-07-27,3.884722222,50,NA
2011-07-28,1.91875,50,50
2011-07-29,2.492361111,51,NA
2011-07-30,3.724305556,51,NA
2011-07-31,2.609027778,51,NA
2011-08-01,2.622222222,51,NA
2011-08-02,3.44375,51,NA
2011-08-03,2.309722222,51,NA
2011-08-04,2.040972222,51,51
2011-08-05,2.473611111,52,NA
2011-08-06,2.805555556,52,NA
2011-08-07,2.038194444,52,NA
2011-08-08,2.997916667,52,NA
2011-08-09,3.727777778,52,NA
2011-08-10,2.961111111,52,NA
2011-08-11,4.288194444,52,52
2011-08-12,2.807638889,53,NA
2011-08-13,2.345833333,53,NA
2011-08-14,2.671527778,53,NA
2011-08-15,4.84375,53,NA
2011-08-16,2.684027778,53,NA
2011-08-17,2.184027778,53,NA
2011-08-18,3.152777778,53,53
2011-08-19,2.1875,54,NA
2011-08-20,2.089583333,54,NA
2011-08-21,2.923611111,54,NA
2011-08-22,4.325,54,NA
2011-08-23,3.234722222,54,NA
2011-08-24,4.252083333,54,NA
2011-08-25,4.755555556,54,54
2011-08-26,1.940277778,55,NA
2011-08-27,1.993055556,55,NA
2011-08-28,7.689583333,55,NA
2011-08-29,4.518055556,55,NA
2011-08-30,2.642361111,55,NA
2011-08-31,1.909027778,55,NA
2011-09-01,3.345138889,55,55
2011-09-02,2.873611111,56,NA
2011-09-03,2.584027778,56,NA
2011-09-04,2.611805556,56,NA
2011-09-05,3.134027778,56,NA
2011-09-06,2.878472222,56,NA
2011-09-07,4.372916667,56,NA
2011-09-08,2.015972222,56,56
2011-09-09,3.004861111,57,NA
2011-09-10,2.908333333,57,NA
2011-09-11,2.661805556,57,NA
2011-09-12,2.418055556,57,NA
2011-09-13,3.879166667,57,NA
2011-09-14,2.744444444,57,NA
2011-09-15,3.435416667,57,57
2011-09-16,4.404166667,58,NA
2011-09-17,2.352083333,58,NA
2011-09-18,2.395138889,58,NA
2011-09-19,3.109722222,58,NA
2011-09-20,3.175,58,NA
2011-09-21,2.149305556,58,NA
2011-09-22,1.747916667,58,58
2011-09-23,2.344444444,59,NA
2011-09-24,1.542361111,59,NA
2011-09-25,2.097916667,59,NA
2011-09-26,1.990277778,59,NA
2011-09-27,2.730555556,59,NA
2011-09-28,5.057638889,59,NA
2011-09-29,4.116666667,59,59
2011-09-30,3.421527778,60,NA
2011-10-01,3.35,60,NA
2011-10-02,3.714583333,60,NA
