<<<<<<< HEAD
date,WindSp_ms_mean,AveWindSp_ms_mean,MaxWindSp_ms_mean,WindSp_ms_median,AveWindSp_ms_median,MaxWindSp_ms_median,WindSp_ms_min,AveWindSp_ms_min,MaxWindSp_ms_min,WindSp_ms_max,AveWindSp_ms_max,MaxWindSp_ms_max,WindSp_ms_sd,AveWindSp_ms_sd,MaxWindSp_ms_sd
2007-10-01,3.211805556,NA,NA,3.1,NA,NA,0.4,NA,NA,7.1,NA,NA,1.791022544,NA,NA
2007-10-02,2.669444444,NA,NA,2.6,NA,NA,0.2,NA,NA,5.9,NA,NA,1.256940329,NA,NA
2007-10-03,2.432098765,NA,NA,2.1,NA,NA,0.1,NA,NA,7.2,NA,NA,1.479934725,NA,NA
2007-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-05,2.192783505,NA,NA,2,NA,NA,0.4,NA,NA,5.5,NA,NA,1.364753291,NA,NA
2007-10-06,1.722222222,NA,NA,1.6,NA,NA,0.3,NA,NA,4.9,NA,NA,0.964506065,NA,NA
2007-10-07,3.852777778,NA,NA,3.9,NA,NA,0.4,NA,NA,7.7,NA,NA,1.564418364,NA,NA
2007-10-08,3.017361111,NA,NA,2.5,NA,NA,0.2,NA,NA,9.1,NA,NA,2.010925747,NA,NA
2007-10-09,3.636805556,NA,NA,3.7,NA,NA,0.2,NA,NA,7.5,NA,NA,1.684679901,NA,NA
2007-10-10,3.031944444,NA,NA,3,NA,NA,1.1,NA,NA,5.1,NA,NA,0.748112102,NA,NA
2007-10-11,4.19375,NA,NA,4.1,NA,NA,0.9,NA,NA,11.3,NA,NA,1.793859719,NA,NA
2007-10-12,6.241666667,NA,NA,5.7,NA,NA,3,NA,NA,11.8,NA,NA,2.010166468,NA,NA
2007-10-13,4.553472222,NA,NA,4.3,NA,NA,1.3,NA,NA,8.7,NA,NA,1.405529201,NA,NA
2007-10-14,3.946527778,NA,NA,3.8,NA,NA,0.9,NA,NA,8.7,NA,NA,1.435704218,NA,NA
2007-10-15,4.189583333,NA,NA,4.6,NA,NA,0.7,NA,NA,7.7,NA,NA,1.601996951,NA,NA
2007-10-16,4.267361111,NA,NA,3.9,NA,NA,1.3,NA,NA,10.2,NA,NA,1.570302624,NA,NA
2007-10-17,2.627083333,NA,NA,2.5,NA,NA,0.2,NA,NA,6.1,NA,NA,1.529487265,NA,NA
2007-10-18,2.072222222,NA,NA,2.1,NA,NA,0.2,NA,NA,4.3,NA,NA,0.830405112,NA,NA
2007-10-19,3.361111111,NA,NA,3.1,NA,NA,0.2,NA,NA,9.2,NA,NA,1.643597926,NA,NA
2007-10-20,4.41875,NA,NA,4.25,NA,NA,0.5,NA,NA,8.7,NA,NA,1.661239269,NA,NA
2007-10-21,4.631944444,NA,NA,4.8,NA,NA,0.9,NA,NA,8.4,NA,NA,1.851805121,NA,NA
2007-10-22,2.523611111,NA,NA,2.45,NA,NA,0.2,NA,NA,5.4,NA,NA,1.186343392,NA,NA
2007-10-23,5.906944444,NA,NA,6.1,NA,NA,1.7,NA,NA,11.9,NA,NA,2.109209005,NA,NA
2007-10-24,2.698611111,NA,NA,2.5,NA,NA,0.5,NA,NA,5.8,NA,NA,1.023362489,NA,NA
2007-10-25,2.099305556,NA,NA,2,NA,NA,0.3,NA,NA,4.6,NA,NA,0.993862039,NA,NA
2007-10-26,3.026388889,NA,NA,3,NA,NA,0.4,NA,NA,6.7,NA,NA,1.614184767,NA,NA
2007-10-27,3.774305556,NA,NA,3.4,NA,NA,0.8,NA,NA,13.9,NA,NA,1.683475697,NA,NA
2007-10-28,6.195833333,NA,NA,5.8,NA,NA,1.9,NA,NA,11.8,NA,NA,2.259150004,NA,NA
2007-10-29,3.984722222,NA,NA,4,NA,NA,1.4,NA,NA,7.5,NA,NA,1.11036562,NA,NA
2007-10-30,3.175,NA,NA,3.6,NA,NA,0.5,NA,NA,6.2,NA,NA,1.448679167,NA,NA
2007-10-31,3.874305556,NA,NA,3.05,NA,NA,0.3,NA,NA,10.8,NA,NA,2.403835703,NA,NA
2007-11-01,5.822916667,NA,NA,5.6,NA,NA,0.8,NA,NA,11.8,NA,NA,1.949277031,NA,NA
2007-11-02,3.125,NA,NA,3.2,NA,NA,0.2,NA,NA,7.3,NA,NA,1.432514538,NA,NA
2007-11-03,4.940277778,NA,NA,4.7,NA,NA,1.4,NA,NA,12.4,NA,NA,1.967509499,NA,NA
2007-11-04,4.761267606,NA,NA,5.25,NA,NA,0.2,NA,NA,9.7,NA,NA,2.228310704,NA,NA
2007-11-05,2.895138889,NA,NA,2.55,NA,NA,0.2,NA,NA,7.2,NA,NA,1.789688017,NA,NA
2007-11-06,4.339583333,NA,NA,4.15,NA,NA,0.8,NA,NA,9.3,NA,NA,1.698383384,NA,NA
2007-11-07,5.127083333,NA,NA,5.1,NA,NA,1.4,NA,NA,10.8,NA,NA,1.956349489,NA,NA
2007-11-08,2.650694444,NA,NA,2.6,NA,NA,0.4,NA,NA,5.6,NA,NA,0.993263782,NA,NA
2007-11-09,2.422222222,NA,NA,2.5,NA,NA,0.2,NA,NA,4.1,NA,NA,0.697091304,NA,NA
2007-11-10,4.319444444,NA,NA,4.35,NA,NA,0.3,NA,NA,9.3,NA,NA,1.719256539,NA,NA
2007-11-11,4.811111111,NA,NA,4.75,NA,NA,0.9,NA,NA,9.9,NA,NA,1.745808611,NA,NA
2007-11-12,3.115972222,NA,NA,3,NA,NA,0.4,NA,NA,7.7,NA,NA,1.21974795,NA,NA
2007-11-13,3.366666667,NA,NA,3.2,NA,NA,0.3,NA,NA,8.7,NA,NA,1.340963019,NA,NA
2007-11-14,3.695833333,NA,NA,3,NA,NA,0.2,NA,NA,10.1,NA,NA,2.25366446,NA,NA
2007-11-15,4.013194444,NA,NA,3.9,NA,NA,0.2,NA,NA,9.2,NA,NA,2.19997605,NA,NA
2007-11-16,7.117361111,NA,NA,7.15,NA,NA,2.7,NA,NA,12.7,NA,NA,2.016343359,NA,NA
2007-11-17,6.177083333,NA,NA,5.9,NA,NA,1.4,NA,NA,12.7,NA,NA,2.366600901,NA,NA
2007-11-18,3.204166667,NA,NA,3.25,NA,NA,0.7,NA,NA,6,NA,NA,1.050931987,NA,NA
2007-11-19,2.946527778,NA,NA,2.95,NA,NA,0.9,NA,NA,6.1,NA,NA,1.019249223,NA,NA
2007-11-20,2.703472222,NA,NA,2.45,NA,NA,0.6,NA,NA,8.4,NA,NA,1.455993794,NA,NA
2007-11-21,2.561111111,NA,NA,2.45,NA,NA,0.4,NA,NA,8.5,NA,NA,1.073853991,NA,NA
2007-11-22,3.677083333,NA,NA,3.3,NA,NA,1.4,NA,NA,9.9,NA,NA,1.681812157,NA,NA
2007-11-23,6.567361111,NA,NA,6.55,NA,NA,2.3,NA,NA,12.3,NA,NA,1.636165988,NA,NA
2007-11-24,4.4375,NA,NA,4.4,NA,NA,1.2,NA,NA,8.5,NA,NA,1.675277871,NA,NA
2007-11-25,3.978472222,NA,NA,3.85,NA,NA,0.3,NA,NA,9.7,NA,NA,1.775440975,NA,NA
2007-11-26,2.402777778,NA,NA,2.25,NA,NA,0,NA,NA,5.7,NA,NA,1.129449674,NA,NA
2007-11-27,5.059722222,NA,NA,4.85,NA,NA,0.1,NA,NA,13.1,NA,NA,2.681021605,NA,NA
2007-11-28,4.497916667,NA,NA,4.1,NA,NA,0.7,NA,NA,14.2,NA,NA,2.104024407,NA,NA
2007-11-29,5.353472222,NA,NA,4.85,NA,NA,1.6,NA,NA,11,NA,NA,1.948925226,NA,NA
2007-11-30,7.279861111,NA,NA,7,NA,NA,3.2,NA,NA,12.7,NA,NA,1.881064267,NA,NA
2007-12-01,7.305555556,NA,NA,7,NA,NA,2.1,NA,NA,13.3,NA,NA,2.590266282,NA,NA
2007-12-02,3.388888889,NA,NA,3.2,NA,NA,1.1,NA,NA,9.5,NA,NA,1.449914929,NA,NA
2007-12-03,8.024305556,NA,NA,6.7,NA,NA,0.8,NA,NA,22.6,NA,NA,5.390022465,NA,NA
2007-12-04,6.574305556,NA,NA,6.6,NA,NA,1.7,NA,NA,10.7,NA,NA,1.789274437,NA,NA
2007-12-05,3.918055556,NA,NA,3.8,NA,NA,1.4,NA,NA,7.7,NA,NA,1.331472332,NA,NA
2007-12-06,4.586805556,NA,NA,4.45,NA,NA,1,NA,NA,8.8,NA,NA,1.912500159,NA,NA
2007-12-07,2.897916667,NA,NA,2.85,NA,NA,0.3,NA,NA,5.5,NA,NA,1.023190455,NA,NA
2007-12-08,4.025694444,NA,NA,3.7,NA,NA,1.5,NA,NA,11.9,NA,NA,1.659882316,NA,NA
2007-12-09,2.490972222,NA,NA,2.4,NA,NA,0.8,NA,NA,4.8,NA,NA,0.773866253,NA,NA
2007-12-10,2.66875,NA,NA,2.5,NA,NA,0.8,NA,NA,6.5,NA,NA,1.098216529,NA,NA
2007-12-11,2.4375,NA,NA,2.25,NA,NA,0.2,NA,NA,10.2,NA,NA,1.511488638,NA,NA
2007-12-12,5.729861111,NA,NA,5.95,NA,NA,1,NA,NA,19.8,NA,NA,2.851599474,NA,NA
2007-12-13,3.037362637,NA,NA,2.8,NA,NA,0.5,NA,NA,7.3,NA,NA,1.615731575,NA,NA
2007-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-20,5.605681818,NA,NA,4.35,NA,NA,0,NA,NA,17.9,NA,NA,4.608172599,NA,NA
2007-12-21,2.127083333,NA,NA,2.05,NA,NA,0.3,NA,NA,5.3,NA,NA,1.02139482,NA,NA
2007-12-22,9.24375,NA,NA,8.95,NA,NA,0.9,NA,NA,19.8,NA,NA,6.198225764,NA,NA
2007-12-23,3.244444444,NA,NA,2.8,NA,NA,0.8,NA,NA,9.9,NA,NA,1.708627952,NA,NA
2007-12-24,8.465277778,NA,NA,8.4,NA,NA,1.5,NA,NA,17.1,NA,NA,2.780308366,NA,NA
2007-12-25,5.900694444,NA,NA,5.75,NA,NA,0.5,NA,NA,11.9,NA,NA,2.750041234,NA,NA
2007-12-26,1.98125,NA,NA,2,NA,NA,0.3,NA,NA,4.3,NA,NA,0.945801821,NA,NA
2007-12-27,2.426388889,NA,NA,2.2,NA,NA,0.3,NA,NA,6,NA,NA,1.490716546,NA,NA
2007-12-28,2.209722222,NA,NA,2.1,NA,NA,0.1,NA,NA,5.7,NA,NA,1.24632716,NA,NA
2007-12-29,4.5125,NA,NA,4.35,NA,NA,0.2,NA,NA,11.4,NA,NA,2.793345614,NA,NA
2007-12-30,3.309027778,NA,NA,3.05,NA,NA,0.1,NA,NA,8.5,NA,NA,1.963047196,NA,NA
2007-12-31,3.572641509,NA,NA,2.7,NA,NA,0.2,NA,NA,15.4,NA,NA,2.910425694,NA,NA
2008-01-01,2.371527778,NA,NA,2.1,NA,NA,0.4,NA,NA,6.1,NA,NA,1.254176976,NA,NA
2008-01-02,5.403472222,NA,NA,5.45,NA,NA,0.7,NA,NA,11,NA,NA,1.986788997,NA,NA
2008-01-03,5.031944444,NA,NA,5.05,NA,NA,0.8,NA,NA,11.1,NA,NA,2.070899024,NA,NA
2008-01-04,2.924305556,NA,NA,2.8,NA,NA,0.3,NA,NA,6.2,NA,NA,1.371398476,NA,NA
2008-01-05,2.490972222,NA,NA,2.4,NA,NA,0.2,NA,NA,8.6,NA,NA,1.506624681,NA,NA
2008-01-06,1.733333333,NA,NA,1.5,NA,NA,0.2,NA,NA,5.7,NA,NA,1.070128415,NA,NA
2008-01-07,1.874305556,NA,NA,1.75,NA,NA,0.1,NA,NA,5.2,NA,NA,1.061055453,NA,NA
2008-01-08,2.396527778,NA,NA,2.3,NA,NA,0.3,NA,NA,6,NA,NA,1.317043372,NA,NA
2008-01-09,6.710416667,NA,NA,7.15,NA,NA,0.2,NA,NA,14.6,NA,NA,3.604168502,NA,NA
2008-01-10,4.944444444,NA,NA,5.35,NA,NA,0.1,NA,NA,12.1,NA,NA,3.110612958,NA,NA
2008-01-11,5.24375,NA,NA,3.25,NA,NA,0,NA,NA,27.2,NA,NA,5.800261855,NA,NA
2008-01-12,3.709722222,NA,NA,3,NA,NA,0.2,NA,NA,9.1,NA,NA,2.27086501,NA,NA
2008-01-13,1.775694444,NA,NA,1.4,NA,NA,0.1,NA,NA,5.2,NA,NA,1.163804139,NA,NA
2008-01-14,3.327777778,NA,NA,3,NA,NA,0.3,NA,NA,7.1,NA,NA,1.575753541,NA,NA
2008-01-15,3.470138889,NA,NA,3.35,NA,NA,0.4,NA,NA,8,NA,NA,1.477858963,NA,NA
2008-01-16,4.542361111,NA,NA,4.1,NA,NA,0.6,NA,NA,10.8,NA,NA,2.105390347,NA,NA
2008-01-17,2.265277778,NA,NA,2.2,NA,NA,0.3,NA,NA,5.6,NA,NA,1.046828006,NA,NA
2008-01-18,5.088194444,NA,NA,4.75,NA,NA,0.3,NA,NA,11.6,NA,NA,2.896066697,NA,NA
2008-01-19,3.892361111,NA,NA,3.7,NA,NA,1,NA,NA,7.9,NA,NA,1.556582228,NA,NA
2008-01-20,6.136111111,NA,NA,5.9,NA,NA,2,NA,NA,11.7,NA,NA,1.984083911,NA,NA
2008-01-21,5.647916667,NA,NA,5.55,NA,NA,0.8,NA,NA,13.2,NA,NA,3.099220943,NA,NA
2008-01-22,3.893055556,NA,NA,2.2,NA,NA,0.6,NA,NA,11.4,NA,NA,3.190274837,NA,NA
2008-01-23,5.625,NA,NA,5.6,NA,NA,1.4,NA,NA,11.8,NA,NA,2.228125996,NA,NA
2008-01-24,2.893055556,NA,NA,2.8,NA,NA,0.5,NA,NA,7,NA,NA,1.353092949,NA,NA
2008-01-25,5.652777778,NA,NA,5.55,NA,NA,1.8,NA,NA,10.2,NA,NA,2.085747319,NA,NA
2008-01-26,2.576388889,NA,NA,2.35,NA,NA,0.2,NA,NA,6.7,NA,NA,1.441686372,NA,NA
2008-01-27,2.361805556,NA,NA,2.05,NA,NA,0.3,NA,NA,6.2,NA,NA,1.047006825,NA,NA
2008-01-28,4.759027778,NA,NA,4.65,NA,NA,0.9,NA,NA,10.5,NA,NA,1.999594826,NA,NA
2008-01-29,2.011111111,NA,NA,2,NA,NA,0.2,NA,NA,6.5,NA,NA,1.192641255,NA,NA
2008-01-30,3.794642857,NA,NA,3.8,NA,NA,1.1,NA,NA,6.4,NA,NA,0.967549791,NA,NA
2008-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-03,2.464179104,NA,NA,2.5,NA,NA,0.2,NA,NA,5.3,NA,NA,1.129868113,NA,NA
2008-02-04,1.449305556,NA,NA,1.2,NA,NA,0.2,NA,NA,3.9,NA,NA,0.850750103,NA,NA
2008-02-05,3.885416667,NA,NA,3.4,NA,NA,0,NA,NA,17.4,NA,NA,2.974294739,NA,NA
2008-02-06,2.225,NA,NA,1.95,NA,NA,0,NA,NA,20.7,NA,NA,2.017632068,NA,NA
2008-02-07,3.723611111,NA,NA,3.45,NA,NA,0,NA,NA,7.5,NA,NA,1.418705512,NA,NA
2008-02-08,2.4125,NA,NA,2.2,NA,NA,0.3,NA,NA,7,NA,NA,1.08472387,NA,NA
2008-02-09,2.073611111,NA,NA,1.7,NA,NA,0.2,NA,NA,6.4,NA,NA,1.378607086,NA,NA
2008-02-10,4.860416667,NA,NA,3.7,NA,NA,0.4,NA,NA,13,NA,NA,3.592770884,NA,NA
2008-02-11,8.898611111,NA,NA,9.05,NA,NA,2.7,NA,NA,13.7,NA,NA,2.069863213,NA,NA
2008-02-12,3.195138889,NA,NA,2.9,NA,NA,0.7,NA,NA,8,NA,NA,1.562691325,NA,NA
2008-02-13,5.491836735,NA,NA,4.55,NA,NA,0,NA,NA,19.2,NA,NA,3.798173014,NA,NA
2008-02-14,5.04375,NA,NA,5,NA,NA,0.7,NA,NA,10.1,NA,NA,2.441446286,NA,NA
2008-02-15,5.6125,NA,NA,5.4,NA,NA,1.1,NA,NA,10.6,NA,NA,2.280592335,NA,NA
2008-02-16,3.793055556,NA,NA,3.7,NA,NA,0.5,NA,NA,8.5,NA,NA,2.1918365,NA,NA
2008-02-17,3.603472222,NA,NA,3.2,NA,NA,0.1,NA,NA,10.5,NA,NA,1.969963728,NA,NA
2008-02-18,4.061805556,NA,NA,4,NA,NA,0.1,NA,NA,10.3,NA,NA,1.858490121,NA,NA
2008-02-19,5.253472222,NA,NA,5,NA,NA,1.7,NA,NA,12.3,NA,NA,1.976714559,NA,NA
2008-02-20,6.063194444,NA,NA,6.15,NA,NA,1.3,NA,NA,10.7,NA,NA,2.019165047,NA,NA
2008-02-21,4.155555556,NA,NA,3.25,NA,NA,0.6,NA,NA,11,NA,NA,2.545880473,NA,NA
2008-02-22,2.061805556,NA,NA,2,NA,NA,0.6,NA,NA,5.8,NA,NA,0.900038579,NA,NA
2008-02-23,3.601388889,NA,NA,3.8,NA,NA,0.6,NA,NA,7,NA,NA,1.447833497,NA,NA
2008-02-24,3.6125,NA,NA,3.85,NA,NA,0.7,NA,NA,7.7,NA,NA,1.484647541,NA,NA
2008-02-25,2.799305556,NA,NA,2.6,NA,NA,0.3,NA,NA,7,NA,NA,1.54600756,NA,NA
2008-02-26,2.757638889,NA,NA,2.5,NA,NA,0,NA,NA,8,NA,NA,1.660043805,NA,NA
2008-02-27,4.720138889,NA,NA,4.9,NA,NA,0.7,NA,NA,10.1,NA,NA,2.075820837,NA,NA
2008-02-28,5.343055556,NA,NA,5.1,NA,NA,1.6,NA,NA,9.2,NA,NA,1.593415331,NA,NA
2008-02-29,2.360416667,NA,NA,2.05,NA,NA,0.3,NA,NA,6.7,NA,NA,1.286303249,NA,NA
2008-03-01,3.739583333,NA,NA,3.7,NA,NA,0.5,NA,NA,9.1,NA,NA,1.857783428,NA,NA
2008-03-02,5.996527778,NA,NA,6.1,NA,NA,0.4,NA,NA,12.7,NA,NA,2.677213174,NA,NA
2008-03-03,3.356944444,NA,NA,3,NA,NA,0.3,NA,NA,8.1,NA,NA,1.93891516,NA,NA
2008-03-04,3.663194444,NA,NA,3.8,NA,NA,0.1,NA,NA,9.1,NA,NA,2.333632078,NA,NA
2008-03-05,6.900757576,NA,NA,6.75,NA,NA,2,NA,NA,15.7,NA,NA,1.840116832,NA,NA
2008-03-06,2.627083333,NA,NA,1.95,NA,NA,0.1,NA,NA,9.2,NA,NA,2.030268119,NA,NA
2008-03-07,3.347916667,NA,NA,2.85,NA,NA,0.2,NA,NA,14.7,NA,NA,1.919133282,NA,NA
2008-03-08,4.451388889,NA,NA,3.8,NA,NA,0.1,NA,NA,23.9,NA,NA,3.228327115,NA,NA
2008-03-09,8.75942029,NA,NA,8.3,NA,NA,2.3,NA,NA,16.9,NA,NA,3.417999536,NA,NA
2008-03-10,4.697916667,NA,NA,4.25,NA,NA,1.5,NA,NA,8.4,NA,NA,1.836668798,NA,NA
2008-03-11,3.192361111,NA,NA,3.3,NA,NA,0.5,NA,NA,6.3,NA,NA,1.203496065,NA,NA
2008-03-12,4.5875,NA,NA,3.75,NA,NA,0.5,NA,NA,12.8,NA,NA,2.978333767,NA,NA
2008-03-13,2.970833333,NA,NA,2.5,NA,NA,0.3,NA,NA,8,NA,NA,1.721232076,NA,NA
2008-03-14,1.738888889,NA,NA,1.55,NA,NA,0.2,NA,NA,4.4,NA,NA,0.994397671,NA,NA
2008-03-15,2.236111111,NA,NA,2.1,NA,NA,0.2,NA,NA,6.6,NA,NA,1.137879952,NA,NA
2008-03-16,3.919444444,NA,NA,3.6,NA,NA,0.2,NA,NA,9.9,NA,NA,2.577180054,NA,NA
2008-03-17,6.29375,NA,NA,6.3,NA,NA,1.3,NA,NA,12.8,NA,NA,2.148742314,NA,NA
2008-03-18,2.175,NA,NA,2,NA,NA,0.2,NA,NA,7.8,NA,NA,1.122902084,NA,NA
2008-03-19,5.438888889,NA,NA,4.5,NA,NA,0,NA,NA,28.9,NA,NA,4.908079697,NA,NA
2008-03-20,8.225694444,NA,NA,7.35,NA,NA,1.9,NA,NA,22.5,NA,NA,4.050429426,NA,NA
2008-03-21,9.686111111,NA,NA,9.35,NA,NA,4.4,NA,NA,18.6,NA,NA,2.557277046,NA,NA
2008-03-22,7.575694444,NA,NA,7.4,NA,NA,3.1,NA,NA,12.2,NA,NA,2.321177858,NA,NA
2008-03-23,3.851388889,NA,NA,3.5,NA,NA,0.4,NA,NA,8.8,NA,NA,1.953443655,NA,NA
2008-03-24,2.925,NA,NA,2.65,NA,NA,0.5,NA,NA,7,NA,NA,1.783235842,NA,NA
2008-03-25,3.027777778,NA,NA,2.5,NA,NA,0.3,NA,NA,8.7,NA,NA,2.110660403,NA,NA
2008-03-26,6.442361111,NA,NA,6.3,NA,NA,1.2,NA,NA,12.8,NA,NA,2.522114216,NA,NA
2008-03-27,2.938888889,NA,NA,2.4,NA,NA,0.2,NA,NA,8.4,NA,NA,1.839964697,NA,NA
2008-03-28,3.606,NA,NA,1.85,NA,NA,0.3,NA,NA,20.4,NA,NA,3.849749303,NA,NA
2008-03-29,5.366666667,NA,NA,4.85,NA,NA,0.8,NA,NA,11.3,NA,NA,2.728277204,NA,NA
2008-03-30,1.8875,NA,NA,1.5,NA,NA,0.3,NA,NA,6.7,NA,NA,1.214301434,NA,NA
2008-03-31,1.849305556,NA,NA,1.8,NA,NA,0.1,NA,NA,4.6,NA,NA,0.925776675,NA,NA
2008-04-01,6.265277778,NA,NA,5.9,NA,NA,1.4,NA,NA,14.8,NA,NA,2.209588749,NA,NA
2008-04-02,9.630555556,NA,NA,9.45,NA,NA,3.5,NA,NA,17.9,NA,NA,3.164383915,NA,NA
2008-04-03,5.204166667,NA,NA,5.1,NA,NA,0.8,NA,NA,10.4,NA,NA,1.982577083,NA,NA
2008-04-04,2.524305556,NA,NA,2.3,NA,NA,0.5,NA,NA,8.1,NA,NA,1.274178552,NA,NA
2008-04-05,2.733333333,NA,NA,2.2,NA,NA,0.4,NA,NA,8.2,NA,NA,1.878959688,NA,NA
2008-04-06,3.432638889,NA,NA,3.65,NA,NA,0.3,NA,NA,7.9,NA,NA,1.853774447,NA,NA
2008-04-07,5.122222222,NA,NA,5.1,NA,NA,1,NA,NA,10,NA,NA,1.625687351,NA,NA
2008-04-08,2.1625,NA,NA,2,NA,NA,0.2,NA,NA,5.2,NA,NA,0.969526956,NA,NA
2008-04-09,2.113194444,NA,NA,1.6,NA,NA,0.2,NA,NA,6,NA,NA,1.490963293,NA,NA
