date,log_gloeo,date_1weeklag,site,watertemp_daily_mean,watertemp_daily_median,watertemp_daily_max,watertemp_daily_min,watertemp_daily_sd,watertemp_daily_range,watertemp_daily_cv,watertemp_daily_obs
2010-08-12,1.554006548,2010-08-05,midge,24.74833333,24.72,24.89,24.55,0.1193339,0.34,0.004821896,24
2010-08-19,1.646874271,2010-08-12,midge,23.71375,23.68,24.03,23.52,0.139869893,0.51,0.005898261,24
2010-08-26,0.674747961,2010-08-19,midge,24.2825,24.295,24.89,23.68,0.41658289,1.21,0.017155684,24
2010-09-02,-0.302115104,2010-08-26,midge,21.47041667,21.51,21.84,21.01,0.286894605,0.83,0.013362321,24
2010-09-09,-0.390623935,2010-09-02,midge,23.99625,23.86,24.72,23.34,0.482509856,1.38,0.020107719,24
2010-09-16,-0.81774036,2010-09-09,midge,21.13166667,21.17,21.51,20.68,0.230701514,0.83,0.010917336,24
2010-09-23,-1.27478095,2010-09-16,midge,18.55916667,18.49,19.22,18.09,0.326522077,1.13,0.017593574,24
2010-09-30,-1.750869961,2010-09-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-10-07,-1.336849366,2010-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-04-28,-2.443697499,2011-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-05-05,-2.443697499,2011-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-05-12,-2.443697499,2011-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-05-19,-2.443697499,2011-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-05-26,-2.443697499,2011-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-06-02,-1.971688914,2011-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-06-10,-2.443697499,2011-06-03,midge,16.51833333,17.29,17.77,13.82,1.275190239,3.95,0.077198481,24
2011-06-16,-2.443697499,2011-06-09,midge,22.295,22.18,23.01,21.34,0.454111651,1.67,0.020368318,24
2011-06-23,-1.971688914,2011-06-16,midge,19.17833333,19.47,20.2,17.93,0.708971494,2.27,0.036967315,24
