date,ppt_mm,sum_3,sum_5,sum_7,sum_10,sum_14
2005-10-03,0,4.163336342344337e-17,15.860000000000001,33.16,33.160000000000004,35.37
2005-10-04,0,4.163336342344337e-17,15.860000000000001,15.86,33.160000000000004,35.37
2005-10-05,0,4.163336342344337e-17,2.456368441983159e-15,15.86,33.160000000000004,33.16
2005-10-06,0,4.163336342344337e-17,2.456368441983159e-15,15.86,33.160000000000004,33.16
2005-10-07,0,4.163336342344337e-17,2.456368441983159e-15,-1.3183898417423734e-16,15.86,33.16
2005-10-08,33.44,33.44,33.44,33.44,49.3,66.6
2005-10-09,141.12,174.56,174.56,174.56,190.42000000000002,207.72
2005-10-10,1.63,176.19,176.19,176.19,176.19,209.35
2005-10-11,1.93,144.68,178.12,178.12,178.12,193.98
2005-10-12,0.4,3.9600000000000053,178.52,178.52,178.52,194.38
2005-10-13,1.21,3.5400000000000054,146.29000000000002,179.73,179.73,195.59
2005-10-14,3.28,4.890000000000005,8.450000000000005,183.01,183.01,183.01
2005-10-15,60.52,65.01,67.34,210.09,243.53,243.53
2005-10-16,27.41,91.21000000000001,92.82000000000001,96.38,270.94,270.94
2005-10-17,0.3,88.23,92.72,95.05,271.24,271.24
2005-10-18,1.03,28.740000000000006,92.54,94.15,238.83,272.27
2005-10-19,1.87,3.200000000000008,91.13000000000001,95.62,99.58000000000001,274.14
2005-10-20,0,2.900000000000008,30.610000000000003,94.41,97.95,274.14
2005-10-21,0,1.8700000000000079,3.2000000000000024,91.13,96.02000000000001,274.14
2005-10-22,0,7.868705687030797e-15,2.9000000000000026,30.609999999999996,95.62,240.70000000000002
2005-10-23,22.62,22.620000000000008,24.490000000000002,25.819999999999997,117.03,122.2
2005-10-24,4.95,27.570000000000007,27.570000000000004,30.47,118.7,125.52000000000001
2005-10-25,22.56,50.13000000000001,50.13,51.99999999999999,80.74,146.15
2005-10-26,41.84,69.35000000000001,91.97,91.97,95.17,187.59
2005-10-27,0.46,64.86000000000001,92.43,92.43,95.33,186.84
2005-10-28,0,42.30000000000001,69.81,92.43,94.3,183.56
2005-10-29,0,0.46000000000000785,64.86,92.43,92.43,123.04
2005-10-30,0,7.813194535799539e-15,42.300000000000004,69.81,92.43,95.63000000000001
2005-10-31,0,7.813194535799539e-15,0.46000000000000113,64.86,92.43,95.33000000000001
2006-05-01,0,NA,NA,NA,NA,NA
2006-05-02,0,NA,NA,NA,NA,NA
2006-05-03,19.89,19.89,NA,NA,NA,NA
2006-05-04,3.15,23.04,NA,NA,NA,NA
2006-05-05,0.77,23.810000000000002,23.810000000000002,NA,NA,NA
2006-05-06,0,3.92,23.810000000000002,NA,NA,NA
2006-05-07,0,0.77,23.810000000000002,23.810000000000002,NA,NA
2006-05-08,0,0,3.9200000000000017,23.810000000000002,NA,NA
2006-05-09,0,0,0.7700000000000018,23.810000000000002,NA,NA
2006-05-10,0.72,0.72,0.7200000000000017,4.640000000000001,24.53,NA
2006-05-11,0.71,1.43,1.4300000000000017,2.2000000000000006,25.240000000000002,NA
2006-05-12,1.41,2.84,2.8400000000000016,2.8400000000000007,26.650000000000002,NA
2006-05-13,17.41,19.53,20.25,20.25,24.17,NA
2006-05-14,92.87,111.69000000000001,113.12,113.12,113.89,136.93
2006-05-15,63.67,173.95000000000002,176.07000000000002,176.79000000000002,176.79,200.60000000000002
2006-05-16,8.07,164.61,183.43,184.86,184.85999999999999,208.67000000000002
2006-05-17,15.66,87.4,197.68,199.8,200.52,204.44
