site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,week,schmidt.stability_mean,schmidt.stability_max,schmidt.stability_min,schmidt.stability_median,schmidt.stability_sd,schmidt.stability_range,schmidt.stability_CV,schmidt.stability_number_obs,schmidt_mean_diff,schmidt_median_diff,schmidt_max_diff,schmidt_min_diff,schmidt_sd_diff,schmidt_range_diff
Midge,2012-07-26,2012,7,26,208,0.40319543,0.091956852,0.495152282,0.212208121,-0.302115104,30,495.0976595,514.5147777,458.2847458,496.5199415,11.33434456,56.23003195,0.022893149,144,-71.65586979999995,-73.78410009999999,-90.54751420000002,-79.29162819999999,-5.51201436,-11.255885919999997
Midge,2012-08-02,2012,8,2,215,0.587109135,0.091956852,0.679065987,0.183913705,-0.165791735,31,513.5980741,540.2165765,487.6988149,513.929112,11.23086336,52.51776163,0.021867028,144,18.500414599999942,17.409170500000016,25.701798800000006,29.414069100000006,-0.10348119999999916,-3.7122703199999947
Midge,2012-08-09,2012,8,9,222,0.834685276,0.339532994,1.17421827,0.495152282,0.071078287,32,553.9147089,593.9505281,530.6361924,547.910349,17.06997848,63.31433567,0.03081698,144,40.31663480000009,33.981236999999965,53.73395160000007,42.937377500000025,5.839115119999999,10.796574039999996
Midge,2012-08-16,2012,8,16,229,0.120251269,0.03536802,0.155619289,-1.018598981,-0.79800432,33,554.588116,576.1416202,517.7893992,554.9159488,11.78617125,58.35222098,0.021252116,144,0.6734070999999631,7.005599800000027,-17.80890790000001,-12.84679319999998,-5.283807229999999,-4.96211469
Midge,2012-08-23,2012,8,23,236,0.275870557,0,0.275870557,0.120251269,-0.553663939,34,489.3814859,512.1836604,457.2354259,490.644548,11.98831963,54.9482345,0.02449688,144,-65.20663010000004,-64.27140080000004,-63.957959800000026,-60.55397330000005,0.2021483799999988,-3.4039864800000004
Midge,2012-08-30,2012,8,30,243,0.679065987,0,0.679065987,0.40319543,-0.165791735,35,430.1248385,474.8754441,397.9660841,431.8104443,17.35016479,76.90936008,0.04033751,144,-59.25664739999996,-58.834103700000014,-37.308216300000026,-59.26934180000001,5.3618451600000014,21.96112558
Midge,2012-09-06,2012,9,6,250,0.565888323,0,0.565888323,-0.113177665,-0.244515176,36,364.3197879,405.7058367,336.7952476,363.3365174,12.4732946,68.91058911,0.034237214,144,-65.80505060000002,-68.47392689999998,-69.16960739999996,-61.17083650000001,-4.876870190000002,-7.998770969999995
Midge,2012-09-13,2012,9,13,257,0.643697967,0,0.643697967,0.077809644,-0.188895757,37,245.0347985,285.3319154,184.5381759,245.1969125,20.59002613,100.7937395,0.084028988,144,-119.2849894,-118.1396049,-120.3739213,-152.25707169999998,8.11673153,31.883150389999997
Midge,2012-09-20,2012,9,20,264,0.325385786,0,0.325385786,-0.318312182,-0.482822866,38,26.26674181,79.49380824,-7.765257768,19.32729934,27.20358809,87.25906601,1.035666634,144,-218.76805668999998,-225.86961316,-205.83810716,-192.303433668,6.613561960000002,-13.534673490000003
Midge,2012-09-27,2012,9,27,271,0.021220812,0,0.021220812,-0.304164973,-1.605184015,39,3.072781465,27.00202756,-6.811117843,0.7335105,7.869960708,33.8131454,2.561184646,144,-23.193960345,-18.59378884,-52.491780680000005,0.9541399249999998,-19.333627382,-53.445920609999995
Midge,2012-10-05,2012,10,5,279,0.028294416,0,0.028294416,0.007073604,-1.496285346,40,0.796410321,8.757153587,-6.588503721,2.453064259,5.064798673,15.34565731,6.359534202,144,5.36158912,7.666515437999999,5.185975131999999,1.3214309919999998,2.5388256620000003,3.8645441399999996
Midge,2013-05-23,2013,5,23,143,0,0,0,0,-2.443697499,21,140.659633,166.9643707,92.53145779,147.4186871,19.3596899,74.43291288,0.137635009,144,53.02402411000001,57.78482192999999,65.4860528,25.378069699999998,10.704909114,40.10798303000001
Midge,2013-05-30,2013,5,30,150,0,0,0,0,-2.443697499,22,86.04720207,114.9662701,57.97123021,80.88315667,14.11833402,56.99503985,0.164076619,144,-54.612430930000016,-66.53553043,-51.99810059999999,-34.56022758,-5.241355879999999,-17.437873030000006
Midge,2013-06-06,2013,6,6,157,0,0,0,0,-2.443697499,23,211.174768,239.0275887,192.8237335,211.138521,10.29829097,46.20385518,0.048766674,144,125.12756593,130.25536433,124.06131859999999,134.85250329000002,-3.8200430500000007,-10.79118467
Midge,2013-06-13,2013,6,13,164,0.014147208,0.007073604,0.021220812,0.021220812,-1.605184015,24,158.7492867,176.9740195,131.1705181,159.3606554,9.645172969,45.80350144,0.060757268,144,-52.4254813,-51.777865599999984,-62.0535692,-61.65321539999999,-0.6531180009999993,-0.4003537399999999
Midge,2013-06-20,2013,6,20,171,0.021220812,0,0.021220812,0,-1.605184015,25,216.3543212,232.9494804,189.9715152,220.1508199,10.87172873,42.97796523,0.050249649,144,57.60503449999999,60.790164499999975,55.9754609,58.80099709999999,1.2265557609999984,-2.8255362099999957
Midge,2013-06-27,2013,6,27,178,0.021220812,0,0.021220812,0,-1.605184015,26,387.1623237,417.719976,361.9847149,385.905806,13.82386481,55.7352611,0.035705605,144,170.80800250000001,165.7549861,184.77049559999998,172.01319969999997,2.9521360800000007,12.75729587
Midge,2013-07-03,2013,7,3,184,0.063662436,0,0.063662436,0.042441624,-1.172227408,27,421.26124,461.8491089,401.8444704,421.342869,10.43496424,60.00463852,0.024770768,144,40.10464539999998,41.37283120000001,52.94936689999997,42.643758599999956,-0.10404230000000148,10.30560835
Midge,2013-07-11,2013,7,11,192,0.07073604,0,0.07073604,0.007073604,-1.128800578,28,551.3403519,591.1257645,521.1208092,551.8200665,17.98794877,70.00495537,0.032625852,144,93.93403939999996,93.60763090000006,100.44995659999995,95.52127280000008,-0.6304752300000018,4.92868387
