year,week,site,max,mean,median,min,obs,sd,watertemp_weekly_range,watertemp_weekly_cv
2012,32,midge,26.46,25.236071428571428,25.24,24.38,168,0.44576924794372974,2.080000000000002,0.01766397155775383
2012,33,midge,26.11,25.127916666666668,25.07,24.38,168,0.3496411405222629,1.7300000000000004,0.013914450018296897
2012,34,midge,25.42,24.5125,24.55,23.86,168,0.3350641193441283,1.5600000000000023,0.013669112466869079
2012,35,midge,25.42,23.953511904761903,23.86,22.84,168,0.7179195990886661,2.580000000000002,0.029971371293824572
2012,36,midge,23.86,22.635833333333334,22.67,22.01,168,0.3902024910632119,1.8499999999999979,0.01723826489253228
2012,37,midge,22.84,21.52732142857143,21.590000000000003,20.51,168,0.5707506069610878,2.3299999999999983,0.0265128482823496
2012,38,midge,21.51,19.755535714285713,19.71,18.57,168,0.7486872814623202,2.9400000000000013,0.03789759449149871
2012,39,midge,19.54,18.578666666666667,18.41,17.93,105,0.3968483208274787,1.6099999999999994,0.021360430645945817
2013,21,midge,15.31,13.088557692307692,12.82,11.27,104,1.4865607784734516,4.040000000000001,0.11357712693944283
2013,22,midge,21.26,16.22404761904762,15.23,11.89,168,2.9773241287738106,9.370000000000001,0.1835130294661071
2013,23,midge,20.6,17.388630952380954,17.21,15.62,168,1.1047209123240282,4.980000000000002,0.0635312184926648
2013,24,midge,18.17,16.844940476190477,16.73,16.1,168,0.5097891979787528,2.0700000000000003,0.030263639025576588
2013,25,midge,22.59,19.366011904761905,19.14,17.21,168,1.5976746350175262,5.379999999999999,0.08249889770152802
2013,26,midge,23.61,22.232261904761906,22.26,20.93,168,0.634592332132323,2.6799999999999997,0.02854375928327834
2013,27,midge,26.92,24.867142857142856,25.43,22.09,168,1.5182491266611537,4.830000000000002,0.06105442572889112
2013,28,midge,26.22,25.09934523809524,24.99,24.3,168,0.4391174326053419,1.9199999999999982,0.017495174811925335
2013,29,midge,27.81,26.409940476190478,26.57,24.64,168,0.7507533119193385,3.169999999999998,0.02842692177198089
2013,30,midge,25.17,23.928690476190475,23.78,22.76,168,0.6501630928727834,2.41,0.027170859747620065
2013,31,midge,24.47,23.770833333333332,23.95,22.43,168,0.5138773784472713,2.039999999999999,0.021617979110840513
2013,32,midge,23.27,22.65511904761905,22.59,21.93,168,0.32286514508454556,1.3399999999999999,0.014251310902666708
2013,33,midge,22.93,21.80982142857143,21.76,21.09,168,0.4204509600862719,1.8399999999999999,0.019278056056684183
2013,34,midge,24.13,22.611964285714286,22.59,21.59,168,0.6393037557609257,2.539999999999999,0.028272809371312466
2013,35,midge,24.13,22.940416666666668,23.27,22.09,168,0.5546810640668484,2.039999999999999,0.024179206163801807
2013,36,midge,23.27,21.759107142857143,21.76,19.95,168,0.9673724089890225,3.3200000000000003,0.04445827683267701
2013,37,midge,21.93,20.477083333333333,20.11,18.98,168,0.8662067862853462,2.9499999999999993,0.04230127758845927
2013,38,midge,19.79,18.70875,18.82,17.53,168,0.48791157967488125,2.259999999999998,0.026079325431943946
2013,39,midge,17.37,16.996666666666666,17.05,16.73,33,0.19043809142780951,0.6400000000000006,0.011204437620777183
2014,22,midge,18.17,15.684651162790699,15.47,13.28,129,1.2288085225837342,4.890000000000002,0.07834465107511501
2014,23,midge,21.26,18.377916666666668,18.01,16.58,168,1.2000014242340185,4.680000000000003,0.06529583553997424
2014,24,midge,21.76,18.24732142857143,18.17,17.37,168,0.7482454312632517,4.390000000000001,0.0410057681173774
2014,25,midge,20.93,19.58154761904762,19.47,18.33,168,0.6893049420307893,2.6000000000000014,0.03520176011830033
2014,26,midge,25.34,21.91154761904762,21.26,19.63,168,1.69512544820258,5.710000000000001,0.07736219630278485
2014,27,midge,25.52,22.970178571428573,22.59,20.93,168,1.357253070014952,4.59,0.05908761509164624
2014,28,midge,25.52,23.710833333333333,23.61,22.26,168,0.8277886396515284,3.259999999999998,0.03491183241070657
2014,29,midge,25.69,24.14220238095238,24.13,23.27,168,0.5468258166608011,2.4200000000000017,0.022650204319893927
2014,30,midge,26.22,24.335535714285715,24.13,22.93,168,0.7972488314921852,3.289999999999999,0.03276068547873287
2014,31,midge,24.64,23.441190476190478,23.44,22.43,168,0.47859300965516594,2.210000000000001,0.020416753583452987
2014,32,midge,24.64,23.46904761904762,23.27,22.59,168,0.5747628910710753,2.0500000000000007,0.02449025202899986
2014,33,midge,23.61,21.851130952380952,21.76,20.93,168,0.5703737881406278,2.6799999999999997,0.026102712458390097
2014,34,midge,22.93,21.116607142857145,21.09,20.43,168,0.5148034103674134,2.5,0.024379077892801998
2014,35,midge,23.61,22.23565476190476,22.09,21.09,168,0.6300790178380037,2.5199999999999996,0.02833642744433533
2014,36,midge,24.47,23.15220238095238,23.27,21.93,168,0.6240541831182215,2.539999999999999,0.026954419836604356
2014,37,midge,21.93,20.116190476190475,19.79,18.66,168,1.0643936788713702,3.2699999999999996,0.0529122887423037
2014,38,midge,19.31,18.046726190476193,17.85,17.05,168,0.5398896505389345,2.259999999999998,0.02991621000067318
2014,39,midge,17.69,17.418484848484848,17.37,17.21,33,0.18540700519602174,0.4800000000000004,0.010644267099508912
2015,23,midge,18.86,17.118484848484847,17.09,15.98,132,0.6209970865052983,2.879999999999999,0.036276404833822815
2015,24,midge,20.16,18.865714285714287,18.69,17.89,168,0.5770631524801982,2.2699999999999996,0.030587930238992787
2015,25,midge,21.63,20.341369047619047,20.32,18.69,168,0.6648973858024947,2.9399999999999977,0.03268695357947506
2015,26,midge,21.97,20.65357142857143,20.64,19.51,168,0.6494366842452433,2.4599999999999973,0.03144428006029191
2015,27,midge,22.97,21.34404761904762,21.13,19.99,168,0.9056986836157368,2.9800000000000004,0.042433314420057947
2015,28,midge,24.52,23.25577380952381,23.31,22.13,168,0.7085791611199305,2.3900000000000006,0.03046895652337958
2015,29,midge,25.21,23.773035714285715,23.66,22.3,168,0.8354573195852611,2.91,0.03514306416841907
2015,30,midge,25.91,23.661488095238095,23.66,22.81,168,0.6974990737924035,3.1000000000000014,0.029478242069347113
2015,31,midge,25.91,25.134166666666665,25.125,24.34,168,0.39496595270024853,1.5700000000000003,0.015714304672931875
2015,32,midge,24.69,23.703869047619047,23.66,23.14,168,0.35247954133561515,1.5500000000000007,0.014870126924322517
2015,33,midge,26.61,24.465892857142858,24.17,22.97,168,0.916216073119919,3.6400000000000006,0.0374487078182568
2015,34,midge,26.26,24.911607142857143,24.87,24,168,0.5213838453578811,2.2600000000000016,0.02092935403035113
2015,35,midge,24.69,23.868928571428572,23.83,23.31,168,0.31488812900705526,1.3800000000000026,0.01319238641419291
2015,36,midge,25.56,24.116666666666667,24.17,22.97,168,0.5593748292520844,2.59,0.02319453334839327
2015,37,midge,25.04,22.944345238095238,22.63,21.47,168,1.0583761371845173,3.5700000000000003,0.0461279729799071
2015,38,midge,23.48,21.98922619047619,22.3,20.48,168,0.8535428084033146,3,0.038816409500257665
2015,39,midge,20.81,20.552222222222223,20.48,20.48,9,0.11893041849940805,0.3299999999999983,0.005786742533895618
2016,22,midge,21.13,20.471481481481483,20.48,19.99,54,0.23632730267621777,1.1400000000000006,0.011544220817140157
2016,23,midge,21.97,19.88577380952381,20.16,17.73,168,0.8724708508925995,4.239999999999998,0.04387412123106574
2016,24,midge,17.57,16.199166666666667,16.13,15.03,168,0.5947569489659731,2.540000000000001,0.03671528055759904
2016,25,midge,22.63,19.827738095238097,20.48,15.82,168,2.0488064883740327,6.809999999999999,0.10333031829112578
2016,26,midge,24,22.406607142857144,22.81,20.32,168,1.0857822756558122,3.6799999999999997,0.048458129726344654
2016,27,midge,24.87,22.91934523809524,22.81,21.8,168,0.7562348745503417,3.0700000000000003,0.032995483365439726
2016,28,midge,24.52,22.881369047619046,22.81,21.47,168,0.9422434215124662,3.0500000000000007,0.041179503706772855
2016,29,midge,25.21,24.243035714285714,24.34,23.14,168,0.47337716340843145,2.0700000000000003,0.01952631547415838
2016,30,midge,25.56,24.469761904761906,24.34,23.66,168,0.4783641691227948,1.8999999999999986,0.019549195900827435
2016,31,midge,25.56,24.272321428571427,24.17,23.14,168,0.5958217524861539,2.419999999999998,0.024547374021868396
2016,32,midge,26.08,25.048214285714288,24.87,24.17,168,0.5114056259816799,1.9099999999999966,0.02041684968630076
2016,33,midge,26.43,25.008928571428573,25.04,23.66,168,0.7416174552673556,2.7699999999999996,0.029654107458030637
2016,34,midge,24.69,23.842440476190475,23.83,22.81,168,0.4246386234288594,1.8800000000000026,0.017810199583088476
2016,35,midge,24.52,23.788809523809523,23.83,23.14,168,0.32984084262813834,1.379999999999999,0.013865378269476255
2016,36,midge,23.48,22.55690476190476,22.47,21.8,168,0.37424567226719063,1.6799999999999997,0.016591180226962505
2016,37,midge,24,22.523214285714285,22.47,21.47,168,0.6341152744979279,2.530000000000001,0.028153853462208805
2016,38,midge,22.47,21.6575,21.47,21.13,168,0.3661005882521397,1.3399999999999999,0.016904101962467492
2016,39,midge,22.3,20.189699248120302,19.83,18.86,133,0.93375986453726,3.4400000000000013,0.04624932016380555
2006,28,newbury,NA,NaN,NA,NA,0,NA,NA,NA
2006,29,newbury,NA,NaN,NA,NA,0,NA,NA,NA
2006,30,newbury,NA,NaN,NA,NA,0,NA,NA,NA
2006,31,newbury,NA,NaN,NA,NA,0,NA,NA,NA
2006,32,newbury,NA,NaN,NA,NA,0,NA,NA,NA
2006,33,newbury,NA,NaN,NA,NA,0,NA,NA,NA
2006,34,newbury,NA,NaN,NA,NA,0,NA,NA,NA
2006,35,newbury,NA,NaN,NA,NA,0,NA,NA,NA
2006,36,newbury,NA,NaN,NA,NA,0,NA,NA,NA
2006,37,newbury,NA,NaN,NA,NA,0,NA,NA,NA
2006,38,newbury,NA,NaN,NA,NA,0,NA,NA,NA
2007,26,newbury,22.66,21.812916666666666,21.83,20.67,48,0.511435020449171,1.9899999999999984,0.023446429850012614
2007,27,newbury,22.33,20.834642857142857,20.83,18.72,168,0.71607203068010294,3.6099999999999994,0.03436929711682617
2007,28,newbury,22.66,21.01970238095238,20.99,18.88,168,0.8704905531411978,3.780000000000001,0.04141307699627652
2007,29,newbury,23.51,21.989642857142858,21.99,20.67,168,0.6675443360163252,2.84,0.030357215910829946
2007,30,newbury,24.37,22.50642857142857,22.49,20.99,168,0.9491750504014183,3.3800000000000026,0.04217350822184092
2007,31,newbury,27.35,25.31136904761905,25.42,23.51,168,0.9719237825242334,3.84,0.038398704577999064
2007,32,newbury,25.24,24.031845238095237,24.02,21.99,168,0.6336583637995452,3.25,0.026367445259470594
2007,33,newbury,24.54,23.307261904761905,23.51,21.49,168,0.7943729515063904,3.0500000000000007,0.034082637194894704
2007,34,newbury,22.99,21.375595238095237,21.33,20.34,168,0.7716377344781687,2.6499999999999986,0.03609900570642209
2007,35,newbury,24.19,22.810714285714283,22.83,21.49,168,0.6523367223418096,2.700000000000003,0.02859782092621054
2007,36,newbury,22.66,21.376964285714283,21.33,19.86,168,0.6678096818495081,2.8000000000000007,0.031239687400132363
2007,37,newbury,20.34,19.31047619047619,19.37,17.75,168,0.6786308949976275,2.59,0.03514314656478146
2007,38,newbury,19.21,18.173086419753087,18.07,17.43,81,0.39057855155944177,1.7800000000000011,0.021492141870568866
