site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL
Coffin,2010-06-04,2010,6,22,4,155,0.007073604,0,0.007073604
Coffin,2010-06-10,2010,6,23,10,161,0.028294416,7.07E-03,0.03536802
Coffin,2010-06-15,2010,6,24,15,166,0,0,0
Coffin,2010-06-24,2010,6,25,24,175,0.049515228,7.07E-03,0.056588832
Coffin,2010-07-01,2010,7,26,1,182,0.113177665,0,0.113177665
Coffin,2010-07-08,2010,7,27,8,189,2.107934002,0.381974618,2.48990862
Coffin,2010-07-15,2010,7,28,15,196,1.31569035,0.445637054,1.761327404
Coffin,2010-07-22,2010,7,29,22,203,0.198060913,4.95E-02,0.247576141
Coffin,2010-07-29,2010,7,30,29,210,0.049515228,0,0.049515228
Coffin,2010-08-05,2010,8,31,5,217,0.120251269,8.49E-02,0.205134517
Coffin,2010-08-12,2010,8,32,12,224,0.275870557,2.12E-02,0.297091369
Coffin,2010-08-19,2010,8,33,19,231,0.042441624,0,0.042441624
Coffin,2010-08-26,2010,8,34,26,238,0.36782741,7.07E-03,0.374901014
Coffin,2010-09-02,2010,9,35,2,245,0.700286799,0,0.700286799
Coffin,2010-09-09,2010,9,36,9,252,0,0,0
Coffin,2010-09-16,2010,9,37,16,259,0.014147208,0,0.014147208
Coffin,2010-09-22,2010,9,38,22,265,0.042441624,0,0.042441624
Coffin,2010-09-30,2010,9,39,30,273,0,0,0
Coffin,2010-10-07,2010,10,40,7,280,0.007073604,0,0.007073604
Coffin,2011-04-28,2011,4,17,28,118,0,0,0
Coffin,2011-05-05,2011,5,18,5,125,0,0,0
Coffin,2011-05-12,2011,5,19,12,132,0,0,0
Coffin,2011-05-19,2011,5,20,19,139,0,0,0
Coffin,2011-05-26,2011,5,21,26,146,0,0,0
Coffin,2011-06-02,2011,6,22,2,153,0,0,0
Coffin,2011-06-10,2011,6,23,10,161,0,0,0
Coffin,2011-06-16,2011,6,24,16,167,0,0,0
Coffin,2011-06-23,2011,6,25,23,174,0.014147208,0,0.014147208
Coffin,2011-06-30,2011,6,26,30,181,0,0,0
Coffin,2011-07-07,2011,7,27,7,188,0,0,0
Coffin,2011-07-14,2011,7,28,14,195,0.028294416,0,0.028294416
Coffin,2011-07-21,2011,7,29,21,202,0.07073604,7.07E-03,0.077809644
Coffin,2011-07-28,2011,7,30,28,209,0.551741115,0.169766497,0.721507611
Coffin,2011-08-04,2011,8,31,4,216,0.707360403,7.07E-02,0.778096444
