year,week,measure,site,max,mean,median
2010,30,temp,Fichter,26.78111111,24.498510181484065,24.44777778
2010,31,light,Fichter,110223,5047.186111111111,850.4
2010,31,temp,Fichter,25.513,23.93886507936508,23.869
2010,32,light,Fichter,85422.8,5063.470138888889,710.4
2010,32,temp,Fichter,25.708,24.12498511904762,24.158
2010,33,light,Fichter,220445.9,5486.351587301588,635.1
2010,33,temp,Fichter,25.902,23.913243055555558,23.773
2010,34,light,Fichter,99200.7,2838.2674603174605,226
2010,34,temp,Fichter,24.738,22.366698412698412,22.046
2010,35,light,Fichter,60622.6,4926.540376984127,495.1
2010,35,temp,Fichter,25.416,22.137933531746032,21.951
2010,36,light,Fichter,74400.5,NA,NA
2010,36,temp,Fichter,25.028,NA,NA
2010,37,light,Fichter,28933.5,1215.6024801587303,64.6
2010,37,temp,Fichter,20.519,19.441544642857142,19.472
2010,38,light,Fichter,27555.7,NA,NA
2010,38,temp,Fichter,18.616,NA,NA
2010,21,light,Midge,11711.2,1526.5116666666668,710.45
2010,21,temp,Midge,19.853,18.81395,19.5195
2010,22,light,Midge,55111.5,3122.454761904762,1151.7
2010,22,temp,Midge,22.142,19.636603174603174,19.758
2010,23,light,Midge,71644.9,NA,NA
2010,23,temp,Midge,22.717,NA,NA
2010,24,light,Midge,74400.5,NA,NA
2010,24,temp,Midge,19.662,NA,NA
2010,25,light,Midge,68889.3,3325.27251984127,629.7
2010,25,temp,Midge,23.196,21.074044642857142,21.378
2010,26,light,Midge,63378.2,3533.729365079365,941.85
2010,26,temp,Midge,24.158,22.787000992063493,22.812
2010,27,light,Midge,85422.8,4620.163095238096,1636.1
2010,27,temp,Midge,26.781,23.32180257936508,22.956000000000003
2010,28,light,Midge,49600.3,NA,NA
2010,28,temp,Midge,27.37,NA,NA
2010,29,light,Midge,3200,326.2718253968254,144
2010,29,temp,Midge,27.76388889,26.514493496319446,26.48777778
2010,30,light,Midge,30311.3,400.975796812749,87.5
2010,30,temp,Midge,26.39,24.888231850428287,24.835
2010,31,light,Midge,68889.3,4004.3848214285713,1291.65
2010,31,temp,Midge,25.513,24.325935515873017,24.351
2010,32,light,Midge,93689.5,NA,NA
2010,32,temp,Midge,26.097,NA,NA
2010,33,light,Midge,93689.5,3917.345238095238,1087.15
2010,33,temp,Midge,25.416,24.388280753968253,24.351
2010,34,light,Midge,115734.1,NA,NA
2010,34,temp,Midge,25.319,NA,NA
2010,35,light,Midge,66133.8,2856.646031746032,731.9
2010,35,temp,Midge,25.028,22.59042857142857,22.381
2010,36,light,Midge,42711.4,NA,NA
2010,36,temp,Midge,24.835,NA,NA
2010,37,light,Midge,14466.8,1865.1000992063491,161.5
2010,37,temp,Midge,20.901,19.700790674603173,19.662
2010,38,light,Midge,9300.1,NA,NA
2010,38,temp,Midge,19.092,NA,NA
2010,21,light,OldNewbury,27555.7,4789.428333333333,586.65
2010,21,temp,OldNewbury,21.951,21.0345,20.901
2010,22,light,OldNewbury,44089.2,3247.800297619048,1001
2010,22,temp,OldNewbury,22.429,20.202068452380953,20.329
2010,23,light,OldNewbury,46844.8,3218.520138888889,694.3
2010,23,temp,OldNewbury,23.004,19.09286607142857,18.5685
2010,24,light,OldNewbury,44089.2,2594.434623015873,775
2010,24,temp,OldNewbury,20.138,17.322454365079366,17.189
2010,25,light,OldNewbury,154312.1,3802.60248015873,914.9
2010,25,temp,OldNewbury,23.581,20.530665674603174,20.805
2010,26,light,OldNewbury,66133.8,3232.0813492063494,909.55
2010,26,temp,OldNewbury,24.255,22.248782738095237,22.333
2010,27,light,OldNewbury,126756.4,7161.6429563492065,1463.9
2010,27,temp,OldNewbury,27.173,23.132931547619048,23.1
2010,28,light,OldNewbury,82667.2,NA,NA
2010,28,temp,OldNewbury,26.488,NA,NA
2010,29,light,OldNewbury,5120,409.5595238095238,77
2010,29,temp,OldNewbury,27.37,25.50484071875992,25.51277778
2010,30,light,OldNewbury,49600.3,886.5599601593625,54
2010,30,temp,OldNewbury,26.09722222,24.551549911543823,24.44777778
2010,31,light,OldNewbury,126756.4,6161.843948412698,1216.3
2010,31,temp,OldNewbury,25.805,23.890855158730158,23.773
2010,32,light,OldNewbury,68889.3,6874.497420634921,1130.2
2010,32,temp,OldNewbury,26.781,24.58130357142857,24.545
2010,33,light,OldNewbury,93689.5,6023.631349206349,947.2
2010,33,temp,OldNewbury,25.708,23.820877976190477,23.773
2010,34,light,OldNewbury,93689.5,NA,NA
2010,34,temp,OldNewbury,25.513,NA,NA
2010,35,light,OldNewbury,93689.5,6513.07123015873,602.8
2010,35,temp,OldNewbury,25.902,22.62237996031746,22.429
2010,36,light,OldNewbury,60622.6,NA,NA
2010,36,temp,OldNewbury,25.416,NA,NA
2010,37,light,OldNewbury,49600.3,3699.2130952380953,183
2010,37,temp,OldNewbury,21.091,19.49700992063492,19.567
2010,38,light,OldNewbury,49600.3,NA,NA
2010,38,temp,OldNewbury,19.187,NA,NA
2011,22,light,Coffin,46844.8,NA,NA
2011,22,temp,Coffin,15.282,NA,NA
2011,23,light,Coffin,34444.7,NA,NA
2011,23,temp,Coffin,20.329,NA,NA
2011,24,light,Coffin,34444.7,NA,NA
2011,24,temp,Coffin,20.329,NA,NA
2011,25,light,Coffin,27555.7,NA,NA
2011,25,temp,Coffin,21.664,NA,NA
2011,26,light,Coffin,28933.5,NA,NA
2011,26,temp,Coffin,22.142,NA,NA
2011,27,light,Coffin,41333.6,NA,NA
2011,27,temp,Coffin,23.677,NA,NA
2011,28,light,Coffin,115734.1,NA,NA
2011,28,temp,Coffin,24.448,NA,NA
2011,29,light,Coffin,41333.6,NA,NA
2011,29,temp,Coffin,25.708,NA,NA
2011,30,light,Coffin,22044.6,NA,NA
2011,30,temp,Coffin,26,NA,NA
2011,31,light,Coffin,34444.7,NA,NA
2011,31,temp,Coffin,25.805,NA,NA
2011,32,light,Coffin,68889.3,NA,NA
2011,32,temp,Coffin,25.416,NA,NA
2011,33,light,Coffin,3616.7,NA,NA
2011,33,temp,Coffin,24.158,NA,NA
2011,34,light,Coffin,46844.8,NA,NA
2011,34,temp,Coffin,23.773,NA,NA
2011,35,light,Coffin,49600.3,NA,NA
2011,35,temp,Coffin,23.1,NA,NA
2011,36,light,Coffin,9644.5,NA,NA
2011,36,temp,Coffin,23.292,NA,NA
2011,37,light,Coffin,34444.7,NA,NA
2011,37,temp,Coffin,21.855,NA,NA
2011,38,light,Coffin,28933.5,NA,NA
2011,38,temp,Coffin,19.758,NA,NA
2011,22,light,Fichter,66133.8,6469.033497536946,1334.7
2011,22,temp,Fichter,16.999,15.932423645320197,15.76
2011,23,light,Fichter,121245.2,6214.980257936508,818.1
2011,23,temp,Fichter,23.196,18.421997023809524,18.4735
2011,24,light,Fichter,79911.6,NA,NA
2011,24,temp,Fichter,21.091,NA,NA
2011,25,light,Fichter,8266.7,633.5263888888888,113
2011,25,temp,Fichter,21.569,19.55430257936508,19.472
2011,26,light,Fichter,57867,NA,NA
2011,26,temp,Fichter,21.951,NA,NA
2011,27,light,Fichter,198401.3,6026.866865079365,941.85
2011,27,temp,Fichter,25.513,22.70222619047619,23.004
2011,28,light,Fichter,132267.5,NA,NA
2011,28,temp,Fichter,25.708,NA,NA
2011,29,light,Fichter,52355.9,1847.6632936507935,376.75
2011,29,temp,Fichter,27.075,25.200939484126984,25.028
2011,30,light,Fichter,19977.9,NA,NA
2011,30,temp,Fichter,27.272,NA,NA
2011,31,light,Fichter,15155.7,783.0561507936508,118.4
2011,31,temp,Fichter,25.805,24.514121031746033,24.448
2011,32,light,Fichter,176356.7,NA,NA
2011,32,temp,Fichter,25.222,NA,NA
2011,33,light,Fichter,104711.8,4363.557738095238,645.85
2011,33,temp,Fichter,25.416,23.09489384920635,23.004
2011,34,light,Fichter,88178.4,NA,NA
2011,34,temp,Fichter,25.125,NA,NA
2011,35,light,Fichter,17911.2,1131.9443452380951,150.7
2011,35,temp,Fichter,23.388,21.869387896825398,21.855
2011,36,light,Fichter,16533.4,NA,NA
2011,36,temp,Fichter,23.677,NA,NA
2011,37,light,Fichter,15844.5,1391.7114087301588,156.1
2011,37,temp,Fichter,22.525,20.730620039682538,20.805
2011,38,light,Fichter,34444.7,NA,NA
2011,38,temp,Fichter,20.329,NA,NA
2011,22,light,Midge,21355.7,1804.3669950738915,635.1
2011,22,temp,Midge,20.329,18.257837438423646,18.045
2011,23,light,Midge,39955.8,2612.684126984127,613.5
2011,23,temp,Midge,23.388,18.696462301587303,18.14
2011,24,light,Midge,42711.4,NA,NA
2011,24,temp,Midge,20.424,NA,NA
2011,25,light,Midge,28933.5,1483.6857142857143,479
2011,25,temp,Midge,21.76,19.98803273809524,20.043
2011,26,light,Midge,28933.5,NA,NA
2011,26,temp,Midge,22.429,NA,NA
2011,27,light,Midge,52355.9,3698.872023809524,1162.5
2011,27,temp,Midge,24.641,22.89058234126984,22.812
2011,28,light,Midge,52355.9,NA,NA
2011,28,temp,Midge,25.805,NA,NA
2011,29,light,Midge,37200.2,3512.4367063492064,1108.7
2011,29,temp,Midge,27.173,25.178055555555556,25.125
2011,30,light,Midge,30311.3,NA,NA
2011,30,temp,Midge,26.879,NA,NA
2011,31,light,Midge,52355.9,3600.438392857143,925.7
2011,31,temp,Midge,25.805,24.746645833333332,24.835
2011,32,light,Midge,26178,NA,NA
2011,32,temp,Midge,25.708,NA,NA
2011,33,light,Midge,10333.4,1359.697023809524,554.35
2011,33,temp,Midge,24.545,23.3271626984127,23.484
2011,34,light,Midge,10677.8,NA,NA
2011,34,temp,Midge,24.931,NA,NA
2011,35,light,Midge,8611.2,895.2229166666667,231.4
2011,35,temp,Midge,23.484,21.826967261904763,21.664
2011,36,light,Midge,6544.5,NA,NA
2011,36,temp,Midge,23.966,NA,NA
2011,37,light,Midge,5166.7,767.286011904762,156.1
2011,37,temp,Midge,22.717,21.261184523809522,21.282
2011,38,light,Midge,6544.5,NA,NA
2011,38,temp,Midge,19.948,NA,NA
2011,22,light,OldNewbury,38578,2760.928078817734,344.4
2011,22,temp,OldNewbury,17.379,16.137339901477834,16.046
2011,23,light,OldNewbury,52355.9,2553.9294642857144,204.5
2011,23,temp,OldNewbury,22.142,18.61982638888889,18.426
2011,24,light,OldNewbury,39955.8,NA,NA
2011,24,temp,OldNewbury,20.615,NA,NA
2011,25,light,OldNewbury,37200.2,2559.3760912698413,581.3
2011,25,temp,OldNewbury,22.429,18.393046626984127,19.092
2011,26,light,OldNewbury,38578,NA,NA
2011,26,temp,OldNewbury,20.901,NA,NA
2011,27,light,OldNewbury,49600.3,3278.1699404761903,995.65
2011,27,temp,OldNewbury,25.222,22.024118055555554,22.238
2011,28,light,OldNewbury,57867,NA,NA
2011,28,temp,OldNewbury,25.61,NA,NA
2011,29,light,OldNewbury,55111.5,4839.584424603175,1377.8
2011,29,temp,OldNewbury,28.06,25.30787003968254,25.222
2011,30,light,OldNewbury,57867,NA,NA
2011,30,temp,OldNewbury,27.764,NA,NA
2011,31,light,OldNewbury,44089.2,3867.228869047619,1071
2011,31,temp,OldNewbury,26.097,24.412123015873014,24.351
2011,32,light,OldNewbury,71644.9,NA,NA
2011,32,temp,OldNewbury,25.319,NA,NA
2011,33,light,OldNewbury,74400.5,3125.189484126984,635.1
2011,33,temp,OldNewbury,24.545,21.54128373015873,22.189999999999998
2011,34,light,OldNewbury,49600.3,NA,NA
2011,34,temp,OldNewbury,24.738,NA,NA
2011,35,light,OldNewbury,30311.3,2020.9969246031746,21.5
2011,35,temp,OldNewbury,23.773,20.415234126984128,20.234
2011,36,light,OldNewbury,22044.6,NA,NA
2011,36,temp,OldNewbury,22.717,NA,NA
2011,37,light,OldNewbury,39955.8,1360.8609126984127,107.6
2011,37,temp,OldNewbury,21.473,19.66736507936508,19.758
2011,38,light,OldNewbury,14466.8,NA,NA
2011,38,temp,OldNewbury,19.948,NA,NA
2012,21,light,Coffin,8266.7,NA,NA
2012,21,temp,Coffin,20.234,NA,NA
2012,22,light,Coffin,42711.4,NA,NA
2012,22,temp,Coffin,21.76,NA,NA
2012,23,light,Coffin,5166.7,NA,NA
2012,23,temp,Coffin,18.901,NA,NA
2012,24,light,Coffin,10333.4,NA,NA
2012,24,temp,Coffin,20.043,NA,NA
2012,25,light,Coffin,-Inf,NA,NA
2012,25,temp,Coffin,-Inf,NA,NA
2012,26,light,Coffin,-Inf,NA,NA
2012,26,temp,Coffin,-Inf,NA,NA
2012,27,light,Coffin,74400.5,NA,NA
2012,27,temp,Coffin,24.158,NA,NA
2012,28,light,Coffin,148801,NA,NA
2012,28,temp,Coffin,25.416,NA,NA
2012,29,light,Coffin,93689.5,7556.781150793651,1372.4
2012,29,temp,Coffin,26.781,24.9165128968254,24.835
2012,30,light,Coffin,71644.9,5090.434424603174,888
2012,30,temp,Coffin,26.097,24.127599206349206,23.966
2012,31,light,Coffin,99200.7,6175.24503968254,1135.6
2012,31,temp,Coffin,26.585,24.1895128968254,24.062
2012,32,light,Coffin,115734.1,6373.8875992063495,699.7
2012,32,temp,Coffin,26.585,25.17532242063492,25.222
2012,33,light,Coffin,110223,6799.918055555556,629.7
2012,33,temp,Coffin,26.39,25.041122023809525,25.028
2012,34,light,Coffin,159823.3,NA,NA
2012,34,temp,Coffin,26.097,NA,NA
2012,35,light,Coffin,115734.1,8596.463293650793,775
2012,35,temp,Coffin,26,23.804449404761904,23.869
2012,36,light,Coffin,93689.5,5096.660119047619,306.79999999999995
2012,36,temp,Coffin,24.545,22.80787400793651,22.717
2012,37,light,Coffin,143289.8,6970.133333333333,355.2
2012,37,temp,Coffin,23.484,21.435896825396824,21.378
2012,38,light,Coffin,79911.6,NA,NA
2012,38,temp,Coffin,21.664,NA,NA
2012,39,light,Coffin,-Inf,NA,NA
2012,39,temp,Coffin,-Inf,NA,NA
2012,21,light,Fichter,60622.6,4781.021944444445,1324
2012,21,temp,Fichter,17.95,16.09961111111111,16.046
2012,22,light,Fichter,82667.2,NA,NA
2012,22,temp,Fichter,20.71,NA,NA
2012,23,light,Fichter,46844.8,2652.2271825396824,597.4
2012,23,temp,Fichter,18.711,17.001412698412697,16.903
2012,24,light,Fichter,33066.9,NA,NA
2012,24,temp,Fichter,19.948,NA,NA
2012,25,light,Fichter,-Inf,NA,NA
2012,25,temp,Fichter,-Inf,NA,NA
2012,26,light,Fichter,-Inf,NA,NA
2012,26,temp,Fichter,-Inf,NA,NA
2012,27,light,Fichter,66133.8,NA,NA
2012,27,temp,Fichter,24.738,NA,NA
2012,28,light,Fichter,104711.8,7613.663095238096,925.7
2012,28,temp,Fichter,26.585,24.336001984126984,24.351
2012,29,light,Fichter,104711.8,5748.659325396826,963.4
2012,29,temp,Fichter,26.683,25.321833333333334,25.222
2012,30,light,Fichter,110223,3876.926388888889,775
2012,30,temp,Fichter,26.39,24.14723015873016,23.773
2012,31,light,Fichter,115734.1,5532.53621031746,1103.3000000000002
2012,31,temp,Fichter,26.39,24.137234126984126,23.966
2012,32,light,Fichter,85422.8,4655.1550595238095,629.7
2012,32,temp,Fichter,26.292,24.80043154761905,24.835
2012,33,light,Fichter,79911.6,4885.427281746031,678.1
2012,33,temp,Fichter,26.195,24.937170634920633,24.835
2012,34,light,Fichter,82667.2,6165.21746031746,694.3
2012,34,temp,Fichter,25.61,24.489858134920635,24.351
2012,35,light,Fichter,143289.8,5995.235912698413,565.1
2012,35,temp,Fichter,25.902,23.652016865079364,23.677
2012,36,light,Fichter,115734.1,4134.780555555555,322.9
2012,36,temp,Fichter,23.773,22.483777777777778,22.429
2012,37,light,Fichter,143289.8,6065.1278769841265,312.2
2012,37,temp,Fichter,23.388,21.144345238095237,21.091
2012,38,light,Fichter,115734.1,7057.760317460317,118.39999999999999
2012,38,temp,Fichter,21.951,19.550669642857144,19.567
2012,39,light,Fichter,148801,NA,NA
2012,39,temp,Fichter,19.948,NA,NA
2012,21,light,Midge,31689.1,2418.182222222222,1006.4
2012,21,temp,Midge,20.234,19.114566666666665,19.092
2012,22,light,Midge,49600.3,NA,NA
2012,22,temp,Midge,21.378,NA,NA
2012,23,light,Midge,52355.9,2440.408134920635,753.5
2012,23,temp,Midge,19.282,17.32275,17.284
2012,24,light,Midge,33066.9,NA,NA
2012,24,temp,Midge,20.615,NA,NA
2012,25,light,Midge,-Inf,NA,NA
2012,25,temp,Midge,-Inf,NA,NA
2012,26,light,Midge,-Inf,NA,NA
2012,26,temp,Midge,-Inf,NA,NA
2012,27,light,Midge,49600.3,NA,NA
2012,27,temp,Midge,24.641,NA,NA
2012,28,light,Midge,55111.5,NA,NA
2012,28,temp,Midge,26.585,NA,NA
2012,29,light,Midge,55111.5,3721.232341269841,1463.9
2012,29,temp,Midge,26.683,25.646815476190476,25.708
2012,30,light,Midge,126756.4,NA,NA
2012,30,temp,Midge,26.683,NA,NA
2012,31,light,Midge,60622.6,3085.699503968254,1027.95
2012,31,temp,Midge,26.292,24.68625892857143,24.545
2012,32,light,Midge,30311.3,NA,NA
2012,32,temp,Midge,26.585,NA,NA
2012,33,light,Midge,38578,2120.6493055555557,651.2
2012,33,temp,Midge,26.488,25.422,25.416
2012,34,light,Midge,16533.4,NA,NA
2012,34,temp,Midge,25.708,NA,NA
